Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.095 0.121 724.414 1025.287 0.010 100.000 40.000 500.000 160.016 
0.095 0.121 1026.865 1558.538 0.010 100.000 40.000 700.000 277.506 
0.095 0.121 1559.080 2496.552 0.010 61.585 60.000 1000.000 439.084 
0.095 0.121 2509.718 3619.462 0.010 61.585 90.000 1000.000 721.007 
0.095 0.121 3624.793 4986.247 0.010 100.000 100.000 1000.000 1013.995 
0.121 0.151 1.801 13.642 0.010 37.927 1.000 7.000 2.363 
0.121 0.151 13.719 24.876 0.010 37.927 1.000 10.000 4.589 
0.121 0.151 24.971 37.119 0.010 37.927 2.000 20.000 8.029 
0.121 0.151 37.198 50.838 0.010 37.927 2.000 20.000 11.142 
0.121 0.151 50.954 63.003 0.010 37.927 3.000 30.000 15.838 
0.121 0.151 63.144 74.037 0.010 100.000 2.000 40.000 17.723 
0.121 0.151 74.252 86.187 0.010 100.000 2.000 40.000 21.446 
0.121 0.151 86.214 100.291 0.016 100.000 3.000 50.000 24.132 
0.121 0.151 100.400 117.628 0.016 37.927 6.000 50.000 25.320 
0.121 0.151 117.672 146.107 0.016 37.927 6.000 80.000 29.009 
0.121 0.151 146.353 222.468 0.010 100.000 4.000 100.000 47.384 
0.121 0.151 222.563 292.204 0.010 37.927 20.000 100.000 59.040 
0.121 0.151 292.491 374.665 0.010 37.927 20.000 200.000 84.674 
0.121 0.151 376.264 478.589 0.010 37.927 20.000 200.000 109.969 
0.121 0.151 480.124 655.403 0.010 37.927 30.000 300.000 142.282 
0.121 0.151 656.962 919.556 0.010 100.000 40.000 500.000 165.278 
0.121 0.151 920.300 1444.442 0.010 61.585 50.000 700.000 233.449 
0.121 0.151 1447.135 2402.497 0.010 100.000 60.000 1000.000 492.752 
0.121 0.151 2405.167 3582.056 0.010 61.585 80.000 1000.000 799.823 
0.121 0.151 3585.453 4989.118 0.010 37.927 200.000 1000.000 1117.644 
0.151 0.186 1.641 13.654 0.016 23.357 1.000 6.000 2.392 
0.151 0.186 13.753 24.662 0.016 37.927 1.000 10.000 5.633 
0.151 0.187 24.678 36.940 0.010 37.927 2.000 20.000 7.419 
0.151 0.187 36.977 48.543 0.010 37.927 2.000 30.000 13.029 
0.151 0.186 48.589 58.815 0.016 37.927 3.000 30.000 16.851 
0.151 0.187 58.895 68.678 0.016 37.927 3.000 40.000 19.289 
0.151 0.186 68.686 79.085 0.010 37.927 4.000 30.000 22.140 
0.151 0.187 79.197 91.648 0.016 37.927 4.000 50.000 27.672 
