Ice-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.506 0.522 297.032 403.931 0.010 100.000 3.000 100.000 432.470 
0.506 0.522 404.214 524.328 0.010 100.000 4.000 200.000 555.352 
0.506 0.522 524.948 665.171 0.010 100.000 5.000 200.000 711.162 
0.506 0.522 665.705 843.008 0.010 100.000 6.000 300.000 824.024 
0.506 0.522 843.704 1098.936 0.010 100.000 8.000 500.000 1141.621 
0.506 0.522 1100.140 1487.682 0.010 100.000 20.000 600.000 1374.917 
0.506 0.522 1490.661 2044.356 0.010 100.000 20.000 900.000 2166.092 
0.506 0.522 2047.328 2804.203 0.010 100.000 20.000 1000.000 2926.029 
0.506 0.522 2805.031 3816.709 0.010 100.000 30.000 1000.000 4411.405 
0.506 0.522 3821.749 4996.123 0.010 100.000 40.000 1000.000 5517.127 
0.522 0.539 2.251 15.818 0.010 23.357 1.000 7.000 11.105 
0.522 0.539 15.821 26.860 0.010 23.357 1.000 10.000 24.376 
0.522 0.539 26.918 39.066 0.010 37.927 1.000 10.000 38.403 
0.522 0.539 39.202 52.679 0.010 100.000 1.000 20.000 47.731 
0.522 0.539 52.703 68.321 0.010 100.000 1.000 30.000 72.825 
0.522 0.539 68.388 87.327 0.010 100.000 1.000 30.000 92.350 
0.522 0.539 87.420 114.481 0.010 100.000 1.000 40.000 121.494 
0.522 0.539 114.616 155.490 0.010 100.000 2.000 60.000 162.202 
0.522 0.539 155.663 213.647 0.010 100.000 2.000 90.000 192.253 
0.522 0.539 214.206 296.878 0.010 100.000 2.000 100.000 311.173 
0.522 0.539 297.366 402.709 0.010 100.000 3.000 100.000 369.843 
0.522 0.539 402.979 520.545 0.010 100.000 5.000 200.000 557.857 
0.522 0.539 521.545 660.007 0.010 100.000 6.000 200.000 635.237 
0.522 0.539 661.263 836.906 0.010 100.000 6.000 300.000 904.294 
0.522 0.539 837.700 1085.000 0.010 100.000 8.000 400.000 1025.276 
0.522 0.539 1086.150 1479.660 0.010 100.000 10.000 600.000 1475.866 
0.522 0.539 1486.195 2026.637 0.010 100.000 20.000 800.000 1820.347 
0.522 0.538 2030.617 2802.375 0.010 100.000 20.000 1000.000 3051.517 
0.522 0.539 2803.240 3820.514 0.010 100.000 30.000 1000.000 3441.899 
0.522 0.539 3829.849 4988.846 0.010 100.000 40.000 1000.000 5174.637 
0.539 0.557 2.267 15.971 0.010 14.384 1.000 6.000 14.868 
0.539 0.557 16.012 27.101 0.010 23.357 1.000 10.000 23.796 
0.539 0.557 27.195 39.663 0.010 37.927 1.000 10.000 39.040 
0.539 0.557 39.715 53.202 0.010 61.585 1.000 20.000 54.639 
0.539 0.557 53.299 68.862 0.010 100.000 1.000 30.000 63.546 
0.539 0.557 68.921 87.411 0.010 100.000 1.000 30.000 81.256 
0.539 0.557 87.485 113.666 0.010 100.000 1.000 50.000 123.282 
0.539 0.557 113.736 154.702 0.010 100.000 2.000 70.000 159.270 
0.539 0.557 155.114 211.254 0.010 100.000 2.000 90.000 225.737 
0.539 0.557 211.587 296.826 0.010 100.000 2.000 100.000 285.325 
0.539 0.557 297.541 401.602 0.010 100.000 3.000 100.000 440.762 
0.539 0.557 401.950 521.928 0.010 100.000 5.000 200.000 559.096 
0.539 0.557 522.425 661.560 0.010 100.000 5.000 300.000 633.271 
0.539 0.557 662.076 833.913 0.010 100.000 7.000 300.000 912.741 
0.539 0.557 834.944 1080.391 0.010 100.000 8.000 500.000 994.987 
0.539 0.557 1082.797 1466.413 0.010 100.000 9.000 600.000 1325.171 
0.539 0.557 1470.404 2015.886 0.010 100.000 20.000 800.000 2008.573 
0.539 0.557 2021.289 2794.760 0.010 100.000 20.000 1000.000 2911.888 
0.539 0.557 2796.686 3821.286 0.010 100.000 30.000 1000.000 3815.329 
0.539 0.557 3831.008 4999.251 0.010 100.000 40.000 1000.000 5127.571 
0.557 0.576 2.263 16.257 0.010 37.927 1.000 7.000 11.594 
0.557 0.576 16.276 27.662 0.010 61.585 1.000 10.000 24.745 
0.557 0.576 27.772 40.127 0.010 37.927 1.000 10.000 39.884 
0.557 0.576 40.224 53.664 0.010 100.000 1.000 20.000 53.867 
0.557 0.576 53.727 69.190 0.010 100.000 1.000 30.000 64.567 
0.557 0.576 69.214 87.975 0.010 61.585 1.000 30.000 93.371 
0.557 0.576 88.353 114.099 0.010 100.000 1.000 50.000 116.971 
0.557 0.576 114.302 155.422 0.010 100.000 1.000 70.000 157.653 
0.557 0.576 155.739 213.262 0.010 100.000 2.000 90.000 213.037 
0.557 0.576 213.961 297.510 0.010 100.000 2.000 100.000 256.847 
0.557 0.576 299.102 405.629 0.010 100.000 4.000 100.000 358.757 
0.557 0.576 407.666 528.034 0.010 100.000 4.000 200.000 477.507 
0.557 0.576 528.485 665.432 0.010 100.000 5.000 300.000 791.235 
0.557 0.576 667.558 836.294 0.010 100.000 7.000 300.000 791.274 
0.557 0.576 836.811 1076.764 0.010 100.000 8.000 500.000 1178.513 
0.557 0.576 1077.113 1450.901 0.010 100.000 10.000 700.000 1302.133 
0.557 0.576 1457.475 2003.850 0.010 100.000 20.000 800.000 2226.554 
0.557 0.576 2008.248 2793.959 0.010 100.000 20.000 1000.000 2429.206 
0.557 0.576 2800.392 3829.958 0.010 100.000 30.000 1000.000 3826.319 
0.557 0.576 3831.020 4999.799 0.010 100.000 40.000 1000.000 4553.442 
0.576 0.598 2.379 16.810 0.010 23.357 1.000 7.000 11.485 
0.576 0.598 16.825 28.387 0.010 37.927 1.000 10.000 25.148 
0.576 0.598 28.423 40.730 0.010 61.585 1.000 10.000 42.115 
0.576 0.598 40.826 54.468 0.010 100.000 1.000 20.000 55.268 
0.576 0.598 54.542 70.069 0.010 100.000 1.000 30.000 74.868 
0.576 0.598 70.102 88.117 0.010 100.000 1.000 40.000 89.714 
0.576 0.598 88.482 114.712 0.010 100.000 1.000 50.000 123.396 
0.576 0.598 114.772 156.903 0.010 100.000 2.000 70.000 138.061 
0.576 0.598 157.067 216.563 0.010 100.000 2.000 90.000 188.222 
0.576 0.598 216.698 303.569 0.010 100.000 2.000 100.000 301.876 
0.576 0.598 305.246 408.162 0.010 100.000 3.000 100.000 423.307 
0.576 0.598 408.562 529.355 0.010 100.000 4.000 200.000 560.622 
0.576 0.598 530.512 669.118 0.010 100.000 5.000 300.000 709.452 
0.576 0.598 669.895 842.419 0.010 100.000 7.000 300.000 782.761 
0.576 0.598 844.429 1076.520 0.010 100.000 8.000 500.000 1183.365 
0.576 0.598 1078.898 1459.509 0.010 100.000 20.000 600.000 1466.554 
0.576 0.598 1460.568 2017.619 0.010 100.000 20.000 900.000 1741.261 
0.576 0.598 2019.037 2810.483 0.010 100.000 20.000 1000.000 3055.802 
0.576 0.598 2818.609 3846.008 0.010 100.000 30.000 1000.000 3320.272 
0.576 0.598 3852.430 4995.516 0.010 100.000 50.000 1000.000 4577.813 
0.598 0.623 2.016 17.002 0.010 14.384 1.000 8.000 11.787 
0.598 0.623 17.193 28.583 0.010 23.357 1.000 10.000 25.286 
0.598 0.623 28.656 41.134 0.010 37.927 1.000 10.000 39.866 
0.598 0.623 41.206 54.610 0.010 100.000 1.000 20.000 55.946 
0.598 0.623 54.634 69.496 0.010 100.000 1.000 30.000 69.396 
0.598 0.623 69.573 87.386 0.010 100.000 1.000 40.000 89.009 
0.598 0.623 87.512 113.335 0.010 100.000 1.000 50.000 115.877 
0.598 0.623 113.596 155.361 0.010 100.000 2.000 70.000 152.938 
0.598 0.623 156.147 215.284 0.010 100.000 2.000 80.000 184.988 
0.598 0.623 215.522 300.467 0.010 100.000 2.000 100.000 288.310 
0.598 0.623 300.727 405.213 0.010 100.000 3.000 100.000 354.031 
0.598 0.623 408.444 524.182 0.010 100.000 4.000 200.000 556.949 
0.598 0.623 524.972 660.418 0.010 100.000 6.000 300.000 676.209 
0.598 0.623 660.924 828.135 0.010 100.000 6.000 300.000 772.983 
0.598 0.623 828.736 1056.041 0.010 100.000 8.000 400.000 950.937 
0.598 0.623 1057.588 1426.819 0.010 100.000 10.000 600.000 1239.396 
0.598 0.623 1433.840 1997.254 0.010 100.000 20.000 800.000 1920.323 
0.598 0.623 1998.001 2820.593 0.010 100.000 20.000 1000.000 2375.036 
0.598 0.623 2823.562 3831.449 0.010 100.000 30.000 1000.000 3638.360 
0.598 0.623 3841.121 4999.667 0.010 100.000 40.000 1000.000 5351.695 
0.623 0.655 3.707 17.086 0.010 14.384 1.000 6.000 11.225 
0.623 0.654 17.280 29.108 0.010 37.927 1.000 9.000 26.209 
0.623 0.655 29.193 41.873 0.010 61.585 1.000 10.000 39.362 
0.623 0.655 41.914 55.125 0.010 100.000 1.000 20.000 55.530 
0.623 0.655 55.400 69.523 0.010 100.000 1.000 20.000 70.657 
0.623 0.655 69.554 87.245 0.010 100.000 1.000 40.000 78.937 
0.623 0.655 87.348 112.733 0.010 100.000 1.000 50.000 100.519 
0.623 0.655 113.003 155.003 0.010 100.000 2.000 80.000 130.358 
0.623 0.655 155.276 216.281 0.010 100.000 2.000 90.000 215.428 
0.623 0.655 217.100 305.657 0.010 100.000 3.000 100.000 250.132 
0.623 0.655 306.193 413.847 0.010 100.000 3.000 100.000 412.437 
0.623 0.655 414.397 531.817 0.010 100.000 4.000 100.000 537.195 
0.623 0.655 531.918 669.327 0.010 100.000 5.000 100.000 619.033 
0.623 0.655 671.682 837.831 0.010 100.000 7.000 300.000 774.245 
0.623 0.655 839.315 1069.600 0.010 100.000 9.000 400.000 1081.851 
0.623 0.655 1075.532 1449.269 0.010 100.000 20.000 600.000 1232.747 
