Ice-Agg collection for the random orientation. 
Mean value taken from the average across 300 aggregates. 
Major axis taken as the largest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.458 0.474 666.375 849.801 0.010 100.000 7.000 300.000 1059.751 
0.458 0.474 851.452 1109.070 0.010 100.000 9.000 400.000 1380.965 
0.458 0.474 1117.673 1517.312 0.010 100.000 10.000 600.000 1864.106 
0.458 0.474 1519.489 2079.468 0.010 100.000 20.000 800.000 2612.196 
0.458 0.474 2080.909 2858.263 0.010 100.000 20.000 1000.000 3554.241 
0.458 0.474 2864.904 3820.507 0.010 100.000 30.000 1000.000 4795.826 
0.458 0.474 3823.062 4998.391 0.010 100.000 40.000 1000.000 6229.847 
0.474 0.490 2.252 15.681 0.010 14.384 1.000 7.000 14.531 
0.474 0.490 15.718 26.453 0.010 61.585 1.000 10.000 31.698 
0.474 0.490 26.565 38.886 0.010 61.585 1.000 10.000 48.630 
0.474 0.490 38.975 52.656 0.010 61.585 1.000 20.000 65.095 
0.474 0.490 52.814 68.829 0.010 100.000 1.000 20.000 84.310 
0.474 0.490 68.921 88.270 0.010 100.000 1.000 30.000 107.659 
0.474 0.490 88.357 115.824 0.010 100.000 1.000 50.000 144.715 
0.474 0.490 115.978 158.597 0.010 100.000 1.000 60.000 193.742 
0.474 0.490 159.227 216.696 0.010 100.000 2.000 80.000 268.447 
0.474 0.490 217.738 297.101 0.010 100.000 3.000 100.000 387.583 
0.474 0.490 298.678 397.965 0.010 100.000 4.000 100.000 486.590 
0.474 0.490 399.489 517.758 0.010 100.000 4.000 200.000 650.464 
0.474 0.490 518.410 661.642 0.010 100.000 6.000 200.000 823.471 
0.474 0.490 662.113 839.705 0.010 100.000 6.000 300.000 1044.158 
0.474 0.490 840.329 1096.654 0.010 100.000 7.000 400.000 1329.534 
0.474 0.490 1097.352 1493.489 0.010 100.000 10.000 600.000 1863.560 
0.474 0.490 1495.441 2049.128 0.010 100.000 20.000 800.000 2429.759 
0.474 0.490 2050.890 2811.265 0.010 100.000 30.000 1000.000 3379.847 
0.474 0.490 2815.291 3802.570 0.010 100.000 30.000 1000.000 4724.541 
0.474 0.490 3808.535 4992.693 0.010 100.000 40.000 1000.000 6121.519 
0.490 0.506 2.335 15.584 0.010 37.927 1.000 6.000 15.128 
0.490 0.506 15.705 26.593 0.010 37.927 1.000 10.000 31.274 
0.490 0.506 26.680 39.021 0.010 100.000 1.000 10.000 47.775 
0.490 0.506 39.128 52.686 0.010 100.000 1.000 20.000 63.505 
0.490 0.506 52.708 68.444 0.010 100.000 1.000 30.000 84.327 
0.490 0.506 68.564 88.026 0.010 100.000 1.000 30.000 105.729 
0.490 0.506 88.421 115.363 0.010 100.000 1.000 50.000 140.021 
0.490 0.506 115.822 157.996 0.010 100.000 2.000 60.000 191.773 
0.490 0.506 158.646 216.494 0.010 100.000 2.000 90.000 254.927 
0.490 0.506 216.735 297.050 0.010 100.000 2.000 100.000 375.068 
0.490 0.505 299.071 400.978 0.010 100.000 3.000 100.000 490.530 
0.490 0.506 401.125 520.631 0.010 100.000 4.000 200.000 653.038 
0.490 0.506 520.885 665.448 0.010 100.000 5.000 200.000 817.313 
0.490 0.506 666.524 845.496 0.010 100.000 7.000 300.000 1055.278 
0.490 0.506 846.857 1111.132 0.010 100.000 8.000 400.000 1332.722 
0.490 0.506 1112.459 1507.241 0.010 100.000 20.000 600.000 1809.250 
0.490 0.506 1515.083 2064.637 0.010 100.000 20.000 900.000 2477.585 
0.490 0.506 2073.004 2814.194 0.010 100.000 20.000 1000.000 3486.997 
0.490 0.506 2817.041 3795.332 0.010 100.000 30.000 1000.000 4585.355 
0.490 0.506 3800.416 4993.184 0.010 100.000 40.000 1000.000 6007.098 
0.506 0.522 2.310 15.789 0.010 14.384 1.000 6.000 15.387 
0.506 0.522 15.848 26.565 0.010 23.357 1.000 10.000 30.864 
0.506 0.522 26.728 39.036 0.010 100.000 1.000 10.000 46.150 
0.506 0.522 39.065 52.641 0.010 100.000 1.000 20.000 64.277 
