Ice-Agg collection for the random orientation. 
Mean value taken from the average across 300 aggregates. 
Major axis taken as the largest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.423 0.441 666.785 858.128 0.010 100.000 7.000 300.000 1067.195 
0.423 0.441 858.128 1138.328 0.010 100.000 9.000 400.000 1390.961 
0.423 0.441 1138.328 1539.928 0.010 100.000 20.000 600.000 1907.470 
0.423 0.441 1539.928 2109.175 0.010 100.000 20.000 700.000 2651.515 
0.423 0.441 2109.175 2877.029 0.010 100.000 20.000 1000.000 3635.373 
0.423 0.441 2877.029 3845.983 0.010 100.000 30.000 1000.000 4861.471 
0.423 0.441 3845.983 4999.556 0.010 100.000 40.000 1000.000 6366.326 
0.441 0.457 2.073 15.603 0.010 37.927 1.000 6.000 16.020 
0.441 0.457 15.603 26.597 0.010 37.927 1.000 10.000 32.315 
0.441 0.457 26.597 38.567 0.010 61.585 1.000 10.000 48.442 
0.441 0.457 38.567 52.348 0.010 100.000 1.000 20.000 65.158 
0.441 0.457 52.348 68.617 0.010 100.000 1.000 30.000 86.843 
0.441 0.457 68.617 88.968 0.010 100.000 1.000 30.000 108.507 
0.441 0.457 88.968 118.724 0.010 100.000 1.000 50.000 146.023 
0.441 0.457 118.724 162.375 0.010 100.000 2.000 70.000 196.852 
0.441 0.457 162.375 223.601 0.010 100.000 2.000 90.000 271.590 
0.441 0.457 223.601 304.133 0.010 100.000 2.000 100.000 374.298 
0.441 0.457 304.133 404.692 0.010 100.000 4.000 100.000 505.498 
0.441 0.457 404.692 524.039 0.010 100.000 4.000 200.000 659.769 
0.441 0.457 524.039 670.243 0.010 100.000 5.000 200.000 845.941 
0.441 0.457 670.243 858.085 0.010 100.000 7.000 300.000 1061.788 
0.441 0.457 858.085 1128.769 0.010 100.000 8.000 400.000 1344.467 
0.441 0.457 1128.769 1541.200 0.010 100.000 9.000 600.000 1896.900 
0.441 0.457 1541.200 2114.324 0.010 100.000 20.000 900.000 2576.372 
0.441 0.457 2114.324 2871.485 0.010 100.000 20.000 1000.000 3589.182 
0.441 0.457 2871.485 3835.182 0.010 100.000 40.000 1000.000 4817.040 
0.441 0.457 3835.182 4999.915 0.010 100.000 40.000 1000.000 6131.660 
0.457 0.473 2.065 15.823 0.010 23.357 1.000 7.000 15.372 
0.457 0.473 15.823 26.658 0.010 100.000 1.000 10.000 31.348 
0.457 0.473 26.658 38.879 0.010 61.585 1.000 10.000 48.026 
0.457 0.473 38.879 52.501 0.010 100.000 1.000 20.000 65.764 
0.457 0.473 52.501 68.327 0.010 100.000 1.000 20.000 85.447 
0.457 0.473 68.327 88.614 0.010 100.000 1.000 30.000 107.905 
0.457 0.473 88.614 117.263 0.010 100.000 1.000 50.000 142.410 
0.457 0.473 117.263 160.078 0.010 100.000 2.000 60.000 191.875 
0.457 0.473 160.078 220.967 0.010 100.000 2.000 90.000 273.736 
0.457 0.473 220.967 299.748 0.010 100.000 3.000 100.000 374.936 
0.457 0.473 299.748 403.075 0.010 100.000 3.000 100.000 495.882 
0.457 0.473 403.075 520.772 0.010 100.000 4.000 200.000 650.267 
0.457 0.473 520.772 665.458 0.010 100.000 5.000 200.000 820.762 
0.457 0.473 665.458 850.521 0.010 100.000 7.000 300.000 1052.591 
0.457 0.473 850.521 1111.418 0.010 100.000 8.000 400.000 1354.811 
0.457 0.473 1111.418 1520.858 0.010 100.000 20.000 500.000 1818.232 
0.457 0.473 1520.858 2083.577 0.010 100.000 20.000 800.000 2542.589 
0.457 0.473 2083.577 2865.357 0.010 100.000 20.000 1000.000 3568.639 
0.457 0.473 2865.357 3822.818 0.010 100.000 30.000 1000.000 4736.482 
0.457 0.473 3822.818 4999.951 0.010 100.000 40.000 1000.000 6013.023 
0.473 0.489 2.128 15.734 0.010 23.357 1.000 6.000 15.177 
0.473 0.489 15.734 26.499 0.010 37.927 1.000 10.000 32.297 
0.473 0.489 26.499 39.000 0.010 61.585 1.000 10.000 47.143 
0.473 0.489 39.000 52.782 0.010 100.000 1.000 20.000 64.510 
0.473 0.489 52.782 68.854 0.010 100.000 1.000 30.000 85.023 
0.473 0.489 68.854 88.258 0.010 100.000 1.000 30.000 106.250 
0.473 0.489 88.258 115.900 0.010 100.000 1.000 50.000 140.337 
0.473 0.489 115.900 158.736 0.010 100.000 2.000 60.000 191.802 
0.473 0.489 158.736 217.855 0.010 100.000 2.000 80.000 263.247 
0.473 0.489 217.855 298.485 0.010 100.000 3.000 100.000 360.722 
0.473 0.489 298.485 399.766 0.010 100.000 3.000 100.000 489.647 
0.473 0.489 399.766 518.525 0.010 100.000 3.000 200.000 634.517 
0.473 0.489 518.525 662.692 0.010 100.000 5.000 200.000 805.397 
0.473 0.489 662.692 840.755 0.010 100.000 6.000 300.000 1026.092 
