Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.405 0.424 531.921 679.521 0.010 100.000 5.000 200.000 702.045 
0.405 0.424 681.744 876.438 0.010 100.000 6.000 300.000 982.985 
0.405 0.424 879.566 1154.393 0.010 100.000 7.000 400.000 1131.935 
0.405 0.423 1154.709 1569.761 0.010 100.000 20.000 600.000 1700.127 
0.405 0.423 1570.855 2139.708 0.010 100.000 20.000 700.000 2323.013 
0.405 0.424 2140.780 2862.980 0.010 100.000 20.000 1000.000 3391.685 
0.405 0.424 2874.095 3808.737 0.010 100.000 30.000 1000.000 4554.983 
0.405 0.423 3828.191 4994.481 0.010 100.000 40.000 1000.000 5744.523 
0.424 0.441 2.197 15.662 0.010 37.927 1.000 6.000 11.076 
0.424 0.441 15.830 26.666 0.010 37.927 1.000 10.000 25.446 
0.424 0.441 26.695 38.652 0.010 61.585 1.000 10.000 44.831 
0.424 0.441 38.739 52.358 0.010 61.585 1.000 20.000 57.376 
0.424 0.441 52.404 68.765 0.010 100.000 1.000 20.000 67.797 
0.424 0.441 68.834 89.473 0.010 100.000 1.000 30.000 85.922 
0.424 0.441 89.611 119.514 0.010 100.000 1.000 50.000 130.738 
0.424 0.441 119.782 164.268 0.010 100.000 2.000 60.000 187.804 
0.424 0.441 164.620 224.493 0.010 100.000 2.000 80.000 239.925 
0.424 0.441 224.556 303.474 0.010 100.000 3.000 100.000 330.192 
0.424 0.441 304.205 401.802 0.010 100.000 3.000 100.000 510.829 
0.424 0.441 403.380 518.812 0.010 100.000 4.000 100.000 519.269 
0.424 0.441 521.377 666.449 0.010 100.000 5.000 200.000 737.990 
0.424 0.441 666.949 856.770 0.010 100.000 6.000 300.000 984.364 
0.424 0.441 860.161 1136.712 0.010 100.000 7.000 400.000 1111.166 
0.424 0.441 1139.087 1538.232 0.010 100.000 20.000 500.000 1766.932 
0.424 0.441 1539.311 2106.627 0.010 100.000 20.000 900.000 2046.411 
0.424 0.441 2111.715 2874.860 0.010 100.000 20.000 1000.000 2771.484 
0.424 0.441 2876.401 3838.999 0.010 100.000 30.000 1000.000 3698.682 
0.424 0.441 3847.994 4999.088 0.010 100.000 40.000 1000.000 5779.590 
0.441 0.458 2.363 15.579 0.010 23.357 1.000 6.000 14.006 
0.441 0.458 15.647 26.599 0.010 61.585 1.000 10.000 27.419 
0.441 0.457 26.652 38.597 0.010 61.585 1.000 10.000 40.816 
0.441 0.458 38.665 52.331 0.010 100.000 1.000 20.000 56.903 
0.441 0.458 52.426 68.590 0.010 100.000 1.000 20.000 73.896 
0.441 0.458 68.738 88.886 0.010 100.000 1.000 30.000 101.734 
0.441 0.458 89.075 118.558 0.010 100.000 1.000 50.000 130.235 
0.441 0.458 118.688 162.256 0.010 100.000 2.000 70.000 184.974 
0.441 0.458 162.477 223.496 0.010 100.000 2.000 100.000 234.987 
0.441 0.458 223.733 304.190 0.010 100.000 3.000 100.000 329.771 
0.441 0.458 305.116 405.166 0.010 100.000 3.000 100.000 482.142 
0.441 0.458 405.732 523.797 0.010 100.000 4.000 100.000 655.584 
0.441 0.458 524.273 669.091 0.010 100.000 5.000 200.000 651.816 
0.441 0.458 671.292 856.792 0.010 100.000 7.000 300.000 844.905 
0.441 0.458 858.366 1127.342 0.010 100.000 7.000 400.000 1314.399 
0.441 0.458 1129.259 1540.451 0.010 100.000 10.000 600.000 1455.432 
0.441 0.458 1541.926 2114.052 0.010 100.000 20.000 800.000 2040.043 
0.441 0.457 2115.809 2868.781 0.010 100.000 20.000 1000.000 3073.341 
0.441 0.458 2873.328 3833.935 0.010 100.000 30.000 1000.000 4083.772 
0.441 0.458 3836.421 4993.492 0.010 100.000 40.000 1000.000 5693.017 
0.458 0.474 2.518 15.842 0.010 23.357 1.000 6.000 14.333 
0.458 0.474 15.870 26.626 0.010 37.927 1.000 10.000 28.565 
0.458 0.474 26.687 38.881 0.010 61.585 1.000 10.000 42.751 
0.458 0.474 38.973 52.508 0.010 100.000 1.000 20.000 58.986 
0.458 0.474 52.560 68.315 0.010 61.585 1.000 30.000 80.673 
0.458 0.474 68.445 88.574 0.010 100.000 1.000 30.000 101.861 
0.458 0.474 88.653 117.238 0.010 100.000 1.000 40.000 134.334 
0.458 0.474 117.542 159.797 0.010 100.000 1.000 60.000 166.385 
0.458 0.474 160.146 220.745 0.010 100.000 2.000 80.000 232.211 
0.458 0.474 221.113 298.742 0.010 100.000 3.000 100.000 344.159 
