Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.458 0.474 26.673 38.919 0.010 61.585 1.000 10.000 42.751 
0.458 0.474 38.919 52.528 0.010 100.000 1.000 20.000 58.986 
0.458 0.474 52.528 68.346 0.010 61.585 1.000 30.000 80.673 
0.458 0.474 68.346 88.637 0.010 100.000 1.000 30.000 101.861 
0.458 0.474 88.637 117.278 0.010 100.000 1.000 40.000 134.334 
0.458 0.474 117.278 160.037 0.010 100.000 1.000 60.000 166.385 
0.458 0.474 160.037 220.936 0.010 100.000 2.000 80.000 232.211 
0.458 0.474 220.936 299.432 0.010 100.000 3.000 100.000 344.159 
0.458 0.474 299.432 402.516 0.010 100.000 3.000 100.000 376.581 
0.458 0.474 402.516 520.997 0.010 100.000 4.000 200.000 608.275 
0.458 0.474 520.997 666.129 0.010 100.000 5.000 200.000 722.704 
0.458 0.474 666.129 850.665 0.010 100.000 7.000 300.000 969.998 
0.458 0.474 850.665 1110.892 0.010 100.000 9.000 400.000 1199.247 
0.458 0.474 1110.892 1519.455 0.010 100.000 10.000 600.000 1574.393 
0.458 0.474 1519.455 2080.019 0.010 100.000 20.000 800.000 2178.114 
0.458 0.474 2080.019 2862.234 0.010 100.000 20.000 1000.000 2991.969 
0.458 0.474 2862.234 3821.696 0.010 100.000 30.000 1000.000 4060.947 
0.458 0.474 3821.696 4999.951 0.010 100.000 40.000 1000.000 5607.881 
0.474 0.490 2.128 15.709 0.010 14.384 1.000 7.000 10.547 
0.474 0.490 15.709 26.492 0.010 61.585 1.000 10.000 24.761 
0.474 0.490 26.492 38.965 0.010 61.585 1.000 10.000 43.481 
0.474 0.490 38.965 52.738 0.010 61.585 1.000 20.000 55.163 
0.474 0.490 52.738 68.870 0.010 100.000 1.000 20.000 65.616 
0.474 0.490 68.870 88.271 0.010 100.000 1.000 30.000 85.386 
0.474 0.490 88.271 115.897 0.010 100.000 1.000 50.000 130.236 
0.474 0.490 115.897 158.785 0.010 100.000 1.000 60.000 146.460 
0.474 0.490 158.785 217.676 0.010 100.000 2.000 80.000 199.842 
0.474 0.490 217.676 298.121 0.010 100.000 3.000 100.000 329.576 
0.474 0.490 298.121 399.432 0.010 100.000 4.000 100.000 413.672 
0.474 0.490 399.432 518.090 0.010 100.000 4.000 200.000 505.221 
0.474 0.490 518.090 661.919 0.010 100.000 6.000 200.000 717.013 
0.474 0.490 661.919 840.030 0.010 100.000 6.000 300.000 820.858 
0.474 0.490 840.030 1097.017 0.010 100.000 7.000 400.000 1182.957 
0.474 0.490 1097.017 1494.097 0.010 100.000 10.000 600.000 1735.871 
0.474 0.490 1494.097 2050.378 0.010 100.000 20.000 800.000 2059.350 
0.474 0.490 2050.378 2814.122 0.010 100.000 30.000 1000.000 3137.462 
0.474 0.490 2814.122 3806.081 0.010 100.000 30.000 1000.000 4248.801 
0.474 0.490 3806.081 4999.515 0.010 100.000 40.000 1000.000 5305.056 
0.490 0.506 2.133 15.630 0.010 37.927 1.000 6.000 11.987 
0.490 0.506 15.630 26.636 0.010 37.927 1.000 10.000 27.587 
0.490 0.506 26.636 39.046 0.010 100.000 1.000 10.000 39.097 
0.490 0.506 39.046 52.692 0.010 100.000 1.000 20.000 49.236 
0.490 0.506 52.692 68.547 0.010 100.000 1.000 30.000 73.027 
0.490 0.506 68.547 88.060 0.010 100.000 1.000 30.000 95.920 
0.490 0.506 88.060 115.650 0.010 100.000 1.000 50.000 123.781 
0.490 0.506 115.650 158.111 0.010 100.000 2.000 60.000 165.205 
0.490 0.506 158.111 216.720 0.010 100.000 2.000 90.000 216.522 
0.490 0.506 216.720 298.157 0.010 100.000 2.000 100.000 261.419 
0.490 0.506 298.157 401.089 0.010 100.000 3.000 100.000 415.727 
0.490 0.506 401.089 520.806 0.010 100.000 4.000 200.000 559.124 
0.490 0.506 520.806 665.741 0.010 100.000 5.000 200.000 635.752 
0.490 0.506 665.741 846.497 0.010 100.000 7.000 300.000 848.059 
0.490 0.506 846.497 1111.342 0.010 100.000 8.000 400.000 1176.307 
0.490 0.506 1111.342 1511.254 0.010 100.000 20.000 600.000 1552.617 
0.490 0.506 1511.254 2067.967 0.010 100.000 20.000 900.000 2075.237 
0.490 0.506 2067.967 2816.271 0.010 100.000 20.000 1000.000 2945.112 
0.490 0.506 2816.271 3795.551 0.010 100.000 30.000 1000.000 4245.952 
0.490 0.506 3795.551 4999.953 0.010 100.000 40.000 1000.000 5209.338 
0.506 0.522 2.068 15.808 0.010 14.384 1.000 6.000 12.910 
0.506 0.522 15.808 26.595 0.010 23.357 1.000 10.000 26.482 
0.506 0.522 26.595 39.053 0.010 100.000 1.000 10.000 40.710 
0.506 0.522 39.053 52.695 0.010 100.000 1.000 20.000 59.337 
0.506 0.522 52.695 68.487 0.010 100.000 1.000 20.000 75.127 
0.506 0.522 68.487 87.552 0.010 100.000 1.000 40.000 84.111 
0.506 0.522 87.552 113.538 0.010 100.000 1.000 50.000 120.170 
0.506 0.522 113.538 155.073 0.010 100.000 2.000 60.000 165.817 
0.506 0.522 155.073 214.946 0.010 100.000 2.000 90.000 224.109 
0.506 0.522 214.946 296.879 0.010 100.000 3.000 100.000 323.957 
0.506 0.522 296.879 403.990 0.010 100.000 3.000 100.000 428.980 
0.506 0.522 403.990 524.709 0.010 100.000 4.000 200.000 589.039 
0.506 0.522 524.709 665.468 0.010 100.000 5.000 200.000 719.993 
0.506 0.522 665.468 843.097 0.010 100.000 7.000 300.000 909.169 
0.506 0.522 843.097 1099.462 0.010 100.000 8.000 500.000 1135.166 
0.506 0.522 1099.462 1490.514 0.010 100.000 20.000 600.000 1536.774 
0.506 0.522 1490.514 2044.873 0.010 100.000 20.000 900.000 1836.625 
