Ice-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.424 0.441 2111.715 2874.860 0.010 100.000 20.000 1000.000 1397.364 
0.424 0.441 2876.401 3838.999 0.010 100.000 30.000 1000.000 1895.643 
0.424 0.441 3847.994 4999.088 0.010 100.000 40.000 1000.000 2517.842 
0.441 0.458 2.363 15.579 0.010 23.357 1.000 6.000 6.346 
0.441 0.458 15.647 26.599 0.010 61.585 1.000 10.000 12.062 
0.441 0.457 26.652 38.597 0.010 61.585 1.000 10.000 18.755 
0.441 0.458 38.665 52.331 0.010 100.000 1.000 20.000 28.031 
0.441 0.458 52.426 68.590 0.010 100.000 1.000 20.000 34.900 
0.441 0.458 68.738 88.886 0.010 100.000 1.000 30.000 45.764 
0.441 0.458 89.075 118.558 0.010 100.000 1.000 50.000 60.828 
0.441 0.458 118.688 162.256 0.010 100.000 2.000 70.000 80.966 
0.441 0.458 162.477 223.496 0.010 100.000 2.000 100.000 112.407 
0.441 0.458 223.733 304.190 0.010 100.000 3.000 100.000 155.266 
0.441 0.458 305.116 405.166 0.010 100.000 3.000 100.000 218.131 
0.441 0.458 405.732 523.797 0.010 100.000 4.000 100.000 278.076 
0.441 0.458 524.273 669.091 0.010 100.000 5.000 200.000 349.544 
0.441 0.458 671.292 856.792 0.010 100.000 7.000 300.000 449.856 
0.441 0.458 858.366 1127.342 0.010 100.000 7.000 400.000 543.449 
0.441 0.458 1129.259 1540.451 0.010 100.000 10.000 600.000 750.151 
0.441 0.458 1541.926 2114.052 0.010 100.000 20.000 800.000 1003.236 
0.441 0.457 2115.809 2868.781 0.010 100.000 20.000 1000.000 1341.433 
0.441 0.458 2873.328 3833.935 0.010 100.000 30.000 1000.000 1988.264 
0.441 0.458 3836.421 4993.492 0.010 100.000 40.000 1000.000 2563.009 
0.458 0.474 2.518 15.842 0.010 23.357 1.000 6.000 6.447 
0.458 0.474 15.870 26.626 0.010 37.927 1.000 10.000 12.619 
0.458 0.474 26.687 38.881 0.010 61.585 1.000 10.000 19.251 
0.458 0.474 38.973 52.508 0.010 100.000 1.000 20.000 27.451 
0.458 0.474 52.560 68.315 0.010 61.585 1.000 30.000 35.713 
0.458 0.474 68.445 88.574 0.010 100.000 1.000 30.000 45.859 
0.458 0.474 88.653 117.238 0.010 100.000 1.000 40.000 57.963 
0.458 0.474 117.542 159.797 0.010 100.000 1.000 60.000 79.536 
0.458 0.474 160.146 220.745 0.010 100.000 2.000 80.000 111.081 
0.458 0.474 221.113 298.742 0.010 100.000 3.000 100.000 155.709 
0.458 0.474 299.824 401.749 0.010 100.000 3.000 100.000 214.113 
0.458 0.474 402.722 520.689 0.010 100.000 4.000 200.000 260.330 
0.458 0.474 521.707 665.861 0.010 100.000 5.000 200.000 354.030 
0.458 0.474 666.375 849.801 0.010 100.000 7.000 300.000 444.662 
0.458 0.474 851.452 1109.070 0.010 100.000 9.000 400.000 582.751 
0.458 0.474 1117.673 1517.312 0.010 100.000 10.000 600.000 778.607 
0.458 0.474 1519.489 2079.468 0.010 100.000 20.000 800.000 1055.634 
0.458 0.474 2080.909 2858.263 0.010 100.000 20.000 1000.000 1442.263 
0.458 0.474 2864.904 3820.507 0.010 100.000 30.000 1000.000 1952.542 
0.458 0.474 3823.062 4998.391 0.010 100.000 40.000 1000.000 2737.541 
0.474 0.490 2.252 15.681 0.010 14.384 1.000 7.000 6.601 
0.474 0.490 15.718 26.453 0.010 61.585 1.000 10.000 12.475 
0.474 0.490 26.565 38.886 0.010 61.585 1.000 10.000 20.240 
0.474 0.490 38.975 52.656 0.010 61.585 1.000 20.000 27.508 
0.474 0.490 52.814 68.829 0.010 100.000 1.000 20.000 38.185 
0.474 0.490 68.921 88.270 0.010 100.000 1.000 30.000 47.051 
0.474 0.490 88.357 115.824 0.010 100.000 1.000 50.000 60.879 
0.474 0.490 115.978 158.597 0.010 100.000 1.000 60.000 83.054 
0.474 0.490 159.227 216.696 0.010 100.000 2.000 80.000 112.444 
0.474 0.490 217.738 297.101 0.010 100.000 3.000 100.000 156.041 
0.474 0.490 298.678 397.965 0.010 100.000 4.000 100.000 206.764 
0.474 0.490 399.489 517.758 0.010 100.000 4.000 200.000 280.535 
0.474 0.490 518.410 661.642 0.010 100.000 6.000 200.000 359.338 
0.474 0.490 662.113 839.705 0.010 100.000 6.000 300.000 456.751 
0.474 0.490 840.329 1096.654 0.010 100.000 7.000 400.000 556.645 
0.474 0.490 1097.352 1493.489 0.010 100.000 10.000 600.000 782.107 
0.474 0.490 1495.441 2049.128 0.010 100.000 20.000 800.000 1047.350 
0.474 0.490 2050.890 2811.265 0.010 100.000 30.000 1000.000 1457.800 
0.474 0.490 2815.291 3802.570 0.010 100.000 30.000 1000.000 2044.732 
0.474 0.490 3808.535 4992.693 0.010 100.000 40.000 1000.000 2629.690 
0.490 0.506 2.335 15.584 0.010 37.927 1.000 6.000 6.638 
0.490 0.506 15.705 26.593 0.010 37.927 1.000 10.000 13.047 
0.490 0.506 26.680 39.021 0.010 100.000 1.000 10.000 21.288 
0.490 0.506 39.128 52.686 0.010 100.000 1.000 20.000 28.202 
0.490 0.506 52.708 68.444 0.010 100.000 1.000 30.000 37.375 
0.490 0.506 68.564 88.026 0.010 100.000 1.000 30.000 49.149 
0.490 0.506 88.421 115.363 0.010 100.000 1.000 50.000 62.029 
0.490 0.506 115.822 157.996 0.010 100.000 2.000 60.000 84.461 
0.490 0.506 158.646 216.494 0.010 100.000 2.000 90.000 113.842 
0.490 0.506 216.735 297.050 0.010 100.000 2.000 100.000 157.853 
0.490 0.505 299.071 400.978 0.010 100.000 3.000 100.000 216.014 
0.490 0.506 401.125 520.631 0.010 100.000 4.000 200.000 295.915 
0.490 0.506 520.885 665.448 0.010 100.000 5.000 200.000 364.788 
0.490 0.506 666.524 845.496 0.010 100.000 7.000 300.000 487.520 
0.490 0.506 846.857 1111.132 0.010 100.000 8.000 400.000 606.573 
0.490 0.506 1112.459 1507.241 0.010 100.000 20.000 600.000 839.231 
0.490 0.506 1515.083 2064.637 0.010 100.000 20.000 900.000 1070.974 
0.490 0.506 2073.004 2814.194 0.010 100.000 20.000 1000.000 1545.428 
0.490 0.506 2817.041 3795.332 0.010 100.000 30.000 1000.000 2032.389 
0.490 0.506 3800.416 4993.184 0.010 100.000 40.000 1000.000 2654.653 
0.506 0.522 2.310 15.789 0.010 14.384 1.000 6.000 6.608 
0.506 0.522 15.848 26.565 0.010 23.357 1.000 10.000 13.689 
0.506 0.522 26.728 39.036 0.010 100.000 1.000 10.000 21.302 
0.506 0.522 39.065 52.641 0.010 100.000 1.000 20.000 31.151 
0.506 0.522 52.698 68.433 0.010 100.000 1.000 20.000 38.554 
0.506 0.522 68.663 87.440 0.010 100.000 1.000 40.000 50.136 
0.506 0.522 87.643 113.379 0.010 100.000 1.000 50.000 62.036 
0.506 0.522 113.562 154.880 0.010 100.000 2.000 60.000 85.076 
0.506 0.522 155.228 214.564 0.010 100.000 2.000 90.000 114.490 
0.506 0.522 215.453 296.362 0.010 100.000 3.000 100.000 158.650 
0.506 0.522 297.020 403.860 0.010 100.000 3.000 100.000 218.475 
0.506 0.522 404.274 524.637 0.010 100.000 4.000 200.000 289.540 
0.506 0.522 524.790 665.200 0.010 100.000 5.000 200.000 382.848 
0.506 0.522 665.473 842.658 0.010 100.000 7.000 300.000 495.983 
0.506 0.522 843.762 1099.211 0.010 100.000 8.000 500.000 617.819 
0.506 0.522 1100.278 1487.798 0.010 100.000 20.000 600.000 820.697 
0.506 0.522 1491.554 2044.603 0.010 100.000 20.000 900.000 1070.819 
0.506 0.522 2045.381 2797.502 0.010 100.000 20.000 1000.000 1565.570 
0.506 0.522 2811.197 3818.266 0.010 100.000 30.000 1000.000 2112.012 
0.506 0.522 3821.266 4995.745 0.010 100.000 30.000 1000.000 2707.271 
0.522 0.539 2.257 15.658 0.010 23.357 1.000 6.000 7.335 
0.522 0.539 15.819 26.827 0.010 23.357 1.000 10.000 13.412 
0.522 0.539 26.874 39.072 0.010 23.357 1.000 10.000 21.582 
0.522 0.539 39.181 52.694 0.010 100.000 1.000 20.000 29.187 
0.522 0.539 52.705 68.367 0.010 100.000 1.000 30.000 41.058 
0.522 0.539 68.439 87.346 0.010 100.000 1.000 30.000 51.091 
0.522 0.539 87.367 114.459 0.010 100.000 1.000 40.000 63.538 
0.522 0.539 115.143 155.307 0.010 100.000 2.000 60.000 89.289 
