Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.127 0.157 1427.774 2396.789 0.010 100.000 60.000 1000.000 492.752 
0.127 0.157 2396.789 3587.321 0.010 61.585 80.000 1000.000 799.823 
0.127 0.157 3587.321 4999.790 0.010 37.927 200.000 1000.000 1117.644 
0.157 0.193 1.636 13.698 0.016 23.357 1.000 6.000 2.392 
0.157 0.193 13.698 24.672 0.016 37.927 1.000 10.000 5.633 
0.157 0.193 24.672 36.820 0.010 37.927 2.000 20.000 7.419 
0.157 0.193 36.820 48.021 0.010 37.927 2.000 30.000 13.029 
0.157 0.193 48.021 58.070 0.016 37.927 3.000 30.000 16.851 
0.157 0.193 58.070 67.627 0.016 37.927 3.000 40.000 19.289 
0.157 0.193 67.627 77.956 0.010 37.927 4.000 30.000 22.140 
0.157 0.193 77.956 90.228 0.016 37.927 4.000 50.000 27.672 
0.157 0.193 90.228 107.594 0.016 23.357 5.000 60.000 29.762 
0.157 0.193 107.594 136.578 0.016 23.357 7.000 80.000 36.069 
0.157 0.193 136.578 202.737 0.016 100.000 4.000 100.000 53.010 
0.157 0.193 202.737 271.282 0.010 23.357 20.000 100.000 75.612 
0.157 0.193 271.282 350.691 0.016 37.927 20.000 200.000 98.591 
0.157 0.193 350.691 456.889 0.010 23.357 20.000 200.000 120.037 
0.157 0.193 456.889 626.799 0.010 37.927 30.000 300.000 134.743 
0.157 0.193 626.799 881.944 0.010 61.585 40.000 400.000 224.862 
0.157 0.193 881.944 1419.254 0.010 61.585 40.000 700.000 306.811 
0.157 0.193 1419.254 2410.981 0.010 61.585 70.000 1000.000 415.300 
0.157 0.193 2410.981 3580.875 0.010 100.000 80.000 1000.000 973.201 
0.157 0.193 3580.875 4999.942 0.016 23.357 200.000 1000.000 1369.845 
0.193 0.235 1.608 13.779 0.016 23.357 1.000 7.000 2.838 
0.193 0.235 13.779 24.971 0.016 23.357 1.000 10.000 6.945 
0.193 0.235 24.971 35.690 0.016 23.357 2.000 20.000 11.112 
0.193 0.235 35.690 45.330 0.016 37.927 2.000 20.000 15.884 
0.193 0.235 45.330 54.191 0.016 37.927 2.000 30.000 18.077 
0.193 0.235 54.191 62.771 0.016 23.357 3.000 30.000 18.098 
0.193 0.235 62.771 72.178 0.016 23.357 3.000 40.000 24.741 
0.193 0.235 72.178 84.255 0.016 23.357 4.000 40.000 26.699 
0.193 0.235 84.255 100.419 0.026 23.357 5.000 50.000 31.418 
0.193 0.235 100.419 127.835 0.026 23.357 7.000 70.000 39.418 
0.193 0.235 127.835 185.905 0.016 23.357 8.000 100.000 54.332 
0.193 0.235 185.905 254.682 0.016 14.384 20.000 100.000 85.190 
0.193 0.235 254.682 335.901 0.016 23.357 20.000 100.000 99.548 
0.193 0.235 335.901 444.412 0.016 23.357 20.000 200.000 129.634 
0.193 0.235 444.412 611.322 0.010 37.927 30.000 300.000 176.193 
0.193 0.235 611.322 860.143 0.010 23.357 40.000 400.000 240.377 
0.193 0.235 860.143 1390.128 0.016 100.000 40.000 700.000 359.544 
0.193 0.235 1390.128 2388.861 0.016 37.927 70.000 1000.000 694.561 
0.193 0.235 2388.861 3552.538 0.010 61.585 80.000 1000.000 1074.127 
0.193 0.235 3552.538 4999.933 0.010 23.357 200.000 1000.000 1540.626 
0.235 0.284 1.584 13.817 0.026 23.357 1.000 6.000 3.919 
0.235 0.284 13.817 24.504 0.016 23.357 1.000 10.000 6.866 
0.235 0.284 24.504 33.567 0.016 23.357 2.000 10.000 12.508 
0.235 0.284 33.567 41.863 0.016 23.357 2.000 20.000 16.242 
0.235 0.284 41.863 50.094 0.026 14.384 3.000 20.000 19.495 
0.235 0.284 50.094 58.660 0.026 23.357 3.000 20.000 22.658 
0.235 0.284 58.660 67.886 0.026 14.384 4.000 40.000 25.691 
0.235 0.284 67.886 79.469 0.026 37.927 4.000 40.000 29.053 
0.235 0.284 79.469 95.017 0.026 37.927 4.000 40.000 30.477 
0.235 0.284 95.017 120.764 0.026 23.357 4.000 70.000 45.360 
0.235 0.284 120.764 174.459 0.026 100.000 3.000 90.000 56.419 
0.235 0.284 174.459 240.497 0.026 100.000 4.000 100.000 81.401 
0.235 0.284 240.497 323.967 0.026 23.357 20.000 200.000 110.193 
0.235 0.284 323.967 431.398 0.016 23.357 20.000 200.000 157.964 
0.235 0.284 431.398 597.724 0.016 23.357 30.000 200.000 213.450 
0.235 0.284 597.724 843.095 0.016 37.927 40.000 500.000 286.552 
0.235 0.284 843.095 1396.535 0.016 37.927 40.000 700.000 398.278 
0.235 0.284 1396.535 2413.788 0.026 61.585 60.000 1000.000 765.326 
0.235 0.284 2413.788 3567.482 0.016 37.927 100.000 1000.000 1205.866 
0.235 0.284 3567.482 4999.758 0.016 61.585 90.000 1000.000 1740.253 
0.284 0.340 1.709 12.944 0.026 14.384 1.000 7.000 3.399 
0.284 0.340 12.944 22.779 0.026 14.384 1.000 10.000 8.683 
0.284 0.340 22.779 30.889 0.026 37.927 1.000 10.000 12.087 
0.284 0.340 30.889 38.678 0.026 14.384 2.000 20.000 17.272 
0.284 0.340 38.678 46.776 0.026 23.357 2.000 20.000 19.391 
0.284 0.340 46.776 55.211 0.026 37.927 2.000 20.000 23.841 
0.284 0.340 55.211 64.824 0.026 23.357 2.000 30.000 28.891 
0.284 0.340 64.824 76.362 0.026 61.585 2.000 40.000 31.560 
0.284 0.340 76.362 92.103 0.026 23.357 4.000 30.000 33.385 
0.284 0.340 92.103 117.298 0.026 23.357 6.000 70.000 40.783 
0.284 0.340 117.298 173.707 0.026 37.927 4.000 100.000 63.648 
0.284 0.340 173.707 240.314 0.026 14.384 20.000 100.000 100.695 
0.284 0.340 240.314 325.206 0.026 14.384 20.000 100.000 132.750 
0.284 0.340 325.206 438.062 0.016 14.384 20.000 200.000 185.729 
0.284 0.340 438.062 605.665 0.016 14.384 30.000 300.000 245.874 
0.284 0.340 605.665 846.637 0.026 23.357 40.000 400.000 346.884 
0.284 0.340 846.637 1428.879 0.016 23.357 50.000 800.000 456.316 
0.284 0.340 1428.879 2443.837 0.026 37.927 90.000 1000.000 941.116 
0.284 0.340 2443.837 3582.201 0.026 23.357 200.000 1000.000 1379.814 
0.284 0.340 3582.201 4999.755 0.026 61.585 100.000 1000.000 1929.660 
0.340 0.398 1.769 12.032 0.026 14.384 1.000 6.000 4.201 
0.340 0.398 12.032 20.846 0.026 23.357 1.000 10.000 8.795 
0.340 0.398 20.846 28.486 0.026 14.384 2.000 10.000 13.306 
0.340 0.398 28.486 36.401 0.026 14.384 2.000 10.000 17.401 
0.340 0.398 36.401 45.051 0.026 23.357 2.000 20.000 21.725 
0.340 0.398 45.051 54.494 0.026 14.384 3.000 20.000 26.230 
0.340 0.398 54.494 65.416 0.026 14.384 4.000 30.000 30.179 
0.340 0.398 65.416 78.862 0.026 14.384 4.000 30.000 36.073 
0.340 0.398 78.862 97.366 0.026 14.384 5.000 50.000 43.452 
0.340 0.398 97.366 137.088 0.026 37.927 4.000 70.000 54.633 
0.340 0.398 137.088 202.866 0.026 14.384 9.000 100.000 89.873 
0.340 0.398 202.866 272.937 0.026 14.384 20.000 100.000 116.872 
0.340 0.398 272.937 363.268 0.026 14.384 20.000 100.000 170.657 
0.340 0.398 363.268 489.253 0.026 23.357 30.000 200.000 220.314 
0.340 0.398 489.253 665.955 0.026 14.384 30.000 300.000 306.022 
0.340 0.398 665.955 960.511 0.026 23.357 40.000 500.000 341.040 
0.340 0.398 960.511 1685.904 0.026 37.927 50.000 800.000 601.550 
0.340 0.398 1685.904 2604.221 0.026 37.927 90.000 1000.000 1136.865 
0.340 0.398 2604.221 3658.911 0.026 100.000 40.000 1000.000 1620.847 
0.340 0.398 3658.911 4999.992 0.026 23.357 200.000 1000.000 2262.355 
0.398 0.450 1.635 10.392 0.043 8.859 1.000 5.000 4.052 
0.398 0.450 10.392 18.025 0.043 23.357 1.000 10.000 8.403 
0.398 0.450 18.025 25.846 0.026 23.357 1.000 10.000 12.905 
0.398 0.450 25.846 34.307 0.043 23.357 2.000 10.000 17.660 
0.398 0.450 34.307 44.925 0.026 23.357 2.000 10.000 22.859 
