Ice-Agg collection for the flat orientation.
Mean value taken from the average across 300 aggregates.
Major axis taken as the largest axis from the fit-ellipsoid
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.193 0.235 54.191 62.771 0.016 23.357 3.000 30.000 101.980
0.193 0.235 62.771 72.178 0.016 23.357 3.000 40.000 118.575
0.193 0.235 72.178 84.255 0.016 23.357 4.000 40.000 136.211
0.193 0.235 84.255 100.419 0.026 23.357 5.000 50.000 161.290
0.193 0.235 100.419 127.835 0.026 23.357 7.000 70.000 206.781
0.193 0.235 127.835 185.905 0.016 23.357 8.000 100.000 285.063
0.193 0.235 185.905 254.682 0.016 14.384 20.000 100.000 401.385
0.193 0.235 254.682 335.901 0.016 23.357 20.000 100.000 544.110
0.193 0.235 335.901 444.412 0.016 23.357 20.000 200.000 699.608
0.193 0.235 444.412 611.322 0.010 37.927 30.000 300.000 969.441
0.193 0.235 611.322 860.143 0.010 23.357 40.000 400.000 1315.472
0.193 0.235 860.143 1390.128 0.016 100.000 40.000 700.000 2060.607
0.193 0.235 1390.128 2388.861 0.016 37.927 70.000 1000.000 3630.609
0.193 0.235 2388.861 3552.538 0.010 61.585 80.000 1000.000 5579.368
0.193 0.235 3552.538 4999.933 0.010 23.357 200.000 1000.000 7805.414
0.235 0.284 1.584 13.817 0.026 23.357 1.000 6.000 16.258
0.235 0.284 13.817 24.504 0.016 23.357 1.000 10.000 34.125
0.235 0.284 24.504 33.567 0.016 23.357 2.000 10.000 50.917
0.235 0.284 33.567 41.863 0.016 23.357 2.000 20.000 65.402
0.235 0.284 41.863 50.094 0.026 14.384 3.000 20.000 77.164
0.235 0.284 50.094 58.660 0.026 23.357 3.000 20.000 90.193
0.235 0.284 58.660 67.886 0.026 14.384 4.000 40.000 103.298
0.235 0.284 67.886 79.469 0.026 37.927 4.000 40.000 123.613
0.235 0.284 79.469 95.017 0.026 37.927 4.000 40.000 141.386
0.235 0.284 95.017 120.764 0.026 23.357 4.000 70.000 176.359
0.235 0.284 120.764 174.459 0.026 100.000 3.000 90.000 246.279
0.235 0.284 174.459 240.497 0.026 100.000 4.000 100.000 365.100
0.235 0.284 240.497 323.967 0.026 23.357 20.000 200.000 496.666
0.235 0.284 323.967 431.398 0.016 23.357 20.000 200.000 650.467
0.235 0.284 431.398 597.724 0.016 23.357 30.000 200.000 876.617
0.235 0.284 597.724 843.095 0.016 37.927 40.000 500.000 1225.927
0.235 0.284 843.095 1396.535 0.016 37.927 40.000 700.000 1901.977
0.235 0.284 1396.535 2413.788 0.026 61.585 60.000 1000.000 3393.013
0.235 0.284 2413.788 3567.482 0.016 37.927 100.000 1000.000 5332.154
0.235 0.284 3567.482 4999.758 0.016 61.585 90.000 1000.000 7347.322
0.284 0.340 1.709 12.944 0.026 14.384 1.000 7.000 14.252
0.284 0.340 12.944 22.779 0.026 14.384 1.000 10.000 31.478
0.284 0.340 22.779 30.889 0.026 37.927 1.000 10.000 45.990
0.284 0.340 30.889 38.678 0.026 14.384 2.000 20.000 56.980
0.284 0.340 38.678 46.776 0.026 23.357 2.000 20.000 69.225
0.284 0.340 46.776 55.211 0.026 37.927 2.000 20.000 81.045
0.284 0.340 55.211 64.824 0.026 23.357 2.000 30.000 94.239
0.284 0.340 64.824 76.362 0.026 61.585 2.000 40.000 107.962
0.284 0.340 76.362 92.103 0.026 23.357 4.000 30.000 131.851
0.284 0.340 92.103 117.298 0.026 23.357 6.000 70.000 168.094
0.284 0.340 117.298 173.707 0.026 37.927 4.000 100.000 236.221
0.284 0.340 173.707 240.314 0.026 14.384 20.000 100.000 341.229
0.284 0.340 240.314 325.206 0.026 14.384 20.000 100.000 457.666
0.284 0.340 325.206 438.062 0.016 14.384 20.000 200.000 625.611
0.284 0.340 438.062 605.665 0.016 14.384 30.000 300.000 856.560
0.284 0.340 605.665 846.637 0.026 23.357 40.000 400.000 1183.396
0.284 0.340 846.637 1428.879 0.016 23.357 50.000 800.000 1841.665
0.284 0.340 1428.879 2443.837 0.026 37.927 90.000 1000.000 3392.848
0.284 0.340 2443.837 3582.201 0.026 23.357 200.000 1000.000 4976.676
0.284 0.340 3582.201 4999.755 0.026 61.585 100.000 1000.000 6851.281
0.340 0.398 1.769 12.032 0.026 14.384 1.000 6.000 12.802
0.340 0.398 12.032 20.846 0.026 23.357 1.000 10.000 27.605
0.340 0.398 20.846 28.486 0.026 14.384 2.000 10.000 38.941
0.340 0.398 28.486 36.401 0.026 14.384 2.000 10.000 50.173
0.340 0.398 36.401 45.051 0.026 23.357 2.000 20.000 61.285
0.340 0.398 45.051 54.494 0.026 14.384 3.000 20.000 74.266
0.340 0.398 54.494 65.416 0.026 14.384 4.000 30.000 88.686
0.340 0.398 65.416 78.862 0.026 14.384 4.000 30.000 107.657
0.340 0.398 78.862 97.366 0.026 14.384 5.000 50.000 127.030
0.340 0.398 97.366 137.088 0.026 37.927 4.000 70.000 168.886
0.340 0.398 137.088 202.866 0.026 14.384 9.000 100.000 263.471
0.340 0.398 202.866 272.937 0.026 14.384 20.000 100.000 378.563
0.340 0.398 272.937 363.268 0.026 14.384 20.000 100.000 480.804
0.340 0.398 363.268 489.253 0.026 23.357 30.000 200.000 651.728
0.340 0.398 489.253 665.955 0.026 14.384 30.000 300.000 899.709
0.340 0.398 665.955 960.511 0.026 23.357 40.000 500.000 1221.401
0.340 0.398 960.511 1685.904 0.026 37.927 50.000 800.000 2088.336
0.340 0.398 1685.904 2604.221 0.026 37.927 90.000 1000.000 3506.030
0.340 0.398 2604.221 3658.911 0.026 100.000 40.000 1000.000 4982.044
0.340 0.398 3658.911 4999.992 0.026 23.357 200.000 1000.000 6504.531
0.398 0.450 1.635 10.392 0.043 8.859 1.000 5.000 11.014
0.398 0.450 10.392 18.025 0.043 23.357 1.000 10.000 21.740
0.398 0.450 18.025 25.846 0.026 23.357 1.000 10.000 33.245
0.398 0.450 25.846 34.307 0.043 23.357 2.000 10.000 43.802
0.398 0.450 34.307 44.925 0.026 23.357 2.000 10.000 57.330
0.398 0.450 44.925 56.779 0.026 37.927 3.000 30.000 72.413
0.398 0.450 56.779 70.211 0.026 14.384 3.000 30.000 91.737
0.398 0.450 70.211 89.265 0.043 100.000 2.000 40.000 116.085
0.398 0.450 89.265 129.486 0.043 37.927 4.000 60.000 156.453
0.398 0.450 129.486 201.124 0.026 14.384 9.000 90.000 261.079
0.398 0.450 201.124 270.725 0.043 14.384 20.000 100.000 363.034
0.398 0.450 270.725 351.950 0.026 14.384 20.000 100.000 471.405
0.398 0.450 351.950 459.210 0.016 14.384 30.000 200.000 591.119
0.398 0.450 459.210 603.224 0.026 14.384 40.000 300.000 764.536
0.398 0.450 603.224 824.024 0.043 23.357 40.000 400.000 1007.875
0.398 0.450 824.024 1314.345 0.026 37.927 40.000 600.000 1586.489
0.398 0.450 1314.345 2062.497 0.043 23.357 70.000 1000.000 2566.470
0.398 0.450 2062.497 2868.833 0.026 100.000 40.000 1000.000 3717.482
0.398 0.450 2868.833 3810.562 0.043 100.000 90.000 1000.000 4801.766
0.398 0.450 3810.562 4999.599 0.026 37.927 200.000 1000.000 6396.869
0.450 0.495 1.667 9.437 0.043 8.859 1.000 4.000 9.610
0.450 0.495 9.437 16.637 0.070 14.384 1.000 7.000 19.700
0.450 0.495 16.637 24.116 0.026 8.859 2.000 10.000 29.278
0.450 0.495 24.116 33.274 0.043 8.859 2.000 10.000 41.015
0.450 0.495 33.274 45.756 0.043 100.000 1.000 20.000 56.464
0.450 0.495 45.756 60.522 0.026 14.384 4.000 30.000 72.407
0.450 0.495 60.522 80.956 0.043 100.000 2.000 30.000 99.371
0.450 0.495 80.956 122.822 0.043 23.357 4.000 60.000 139.115
