Ice-Agg collection for the flat orientation.
Mean value taken from the average across 300 aggregates.
Major axis taken as the largest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.187 0.229 2394.460 3558.045 0.010 61.585 80.000 1000.000 5579.368
0.187 0.229 3566.947 4999.832 0.010 23.357 200.000 1000.000 7805.414
0.229 0.279 1.744 13.789 0.026 23.357 1.000 6.000 16.258
0.229 0.279 13.840 24.551 0.016 23.357 1.000 10.000 34.125
0.229 0.278 24.611 33.797 0.016 23.357 2.000 10.000 50.917
0.229 0.279 33.898 42.236 0.016 23.357 2.000 20.000 65.402
0.229 0.279 42.282 50.477 0.026 14.384 3.000 20.000 77.164
0.229 0.279 50.582 59.070 0.026 23.357 3.000 20.000 90.193
0.229 0.279 59.082 68.185 0.026 14.384 4.000 40.000 103.298
0.229 0.279 68.294 79.794 0.026 37.927 4.000 40.000 123.613
0.229 0.279 79.888 95.327 0.026 37.927 4.000 40.000 141.386
0.229 0.279 95.361 121.024 0.026 23.357 4.000 70.000 176.359
0.229 0.279 121.282 174.910 0.026 100.000 3.000 90.000 246.279
0.229 0.279 175.696 241.894 0.026 100.000 4.000 100.000 365.100
0.229 0.279 241.977 325.088 0.026 23.357 20.000 200.000 496.666
0.229 0.279 326.451 431.237 0.016 23.357 20.000 200.000 650.467
0.229 0.279 431.889 595.333 0.016 23.357 30.000 200.000 876.617
0.229 0.279 597.209 843.943 0.016 37.927 40.000 500.000 1225.927
0.229 0.279 844.538 1393.645 0.016 37.927 40.000 700.000 1901.977
0.229 0.279 1397.948 2403.657 0.026 61.585 60.000 1000.000 3393.013
0.229 0.279 2410.195 3566.494 0.016 37.927 100.000 1000.000 5332.154
0.229 0.279 3572.102 4998.030 0.016 61.585 90.000 1000.000 7347.322
0.279 0.337 1.757 13.023 0.026 14.384 1.000 7.000 14.252
0.279 0.337 13.123 22.996 0.026 14.384 1.000 10.000 31.478
0.279 0.337 23.005 31.126 0.026 37.927 1.000 10.000 45.990
0.279 0.337 31.136 38.973 0.026 14.384 2.000 20.000 56.980
0.280 0.337 38.990 47.018 0.026 23.357 2.000 20.000 69.225
0.279 0.337 47.089 55.394 0.026 37.927 2.000 20.000 81.045
0.279 0.337 55.501 64.968 0.026 23.357 2.000 30.000 94.239
0.279 0.337 65.024 76.578 0.026 61.585 2.000 40.000 107.962
0.279 0.337 76.611 92.332 0.026 23.357 4.000 30.000 131.851
0.279 0.337 92.361 117.637 0.026 23.357 6.000 70.000 168.094
0.279 0.337 117.838 173.575 0.026 37.927 4.000 100.000 236.221
0.279 0.337 174.345 240.084 0.026 14.384 20.000 100.000 341.229
0.279 0.337 240.823 325.084 0.026 14.384 20.000 100.000 457.666
0.279 0.337 325.786 437.370 0.016 14.384 20.000 200.000 625.611
0.279 0.337 438.615 602.487 0.016 14.384 30.000 300.000 856.560
0.279 0.337 606.671 846.955 0.026 23.357 40.000 400.000 1183.396
0.279 0.337 849.864 1424.632 0.016 23.357 50.000 800.000 1841.665
0.279 0.337 1425.307 2437.268 0.026 37.927 90.000 1000.000 3392.848
0.279 0.337 2445.545 3568.360 0.026 23.357 200.000 1000.000 4976.676
0.279 0.337 3580.154 4998.429 0.026 61.585 100.000 1000.000 6851.281
0.337 0.398 2.184 12.009 0.026 14.384 1.000 6.000 12.802
0.337 0.398 12.103 20.898 0.026 23.357 1.000 10.000 27.605
0.338 0.398 20.935 28.536 0.026 14.384 2.000 10.000 38.941
0.337 0.398 28.597 36.404 0.026 14.384 2.000 10.000 50.173
0.338 0.398 36.452 45.048 0.026 23.357 2.000 20.000 61.285
0.337 0.398 45.143 54.481 0.026 14.384 3.000 20.000 74.266
0.337 0.398 54.492 65.260 0.026 14.384 4.000 30.000 88.686
0.338 0.398 65.377 78.489 0.026 14.384 4.000 30.000 107.657
0.337 0.398 78.813 96.863 0.026 14.384 5.000 50.000 127.030
0.338 0.398 97.069 135.431 0.026 37.927 4.000 70.000 168.886
