Ice-Agg collection for the random orientation.
Volume ratio of agg subtracted from volume ratio of new agg (Vagg/Vellipse)
Mode from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.489 0.505 158.121 216.661 0.010 100.000 2.000 90.000 0.003
0.489 0.505 216.661 298.244 0.010 100.000 3.000 100.000 0.008
0.489 0.505 298.244 401.098 0.010 100.000 3.000 100.000 0.011
0.489 0.505 401.098 520.265 0.010 100.000 4.000 200.000 0.006
0.489 0.505 520.265 664.727 0.010 100.000 5.000 300.000 0.003
0.489 0.505 664.727 845.402 0.010 100.000 7.000 300.000 0.008
0.489 0.505 845.402 1109.888 0.010 100.000 8.000 400.000 0.002
0.489 0.505 1109.888 1512.244 0.010 100.000 20.000 600.000 0.004
0.489 0.505 1512.244 2067.710 0.010 100.000 20.000 800.000 0.000
0.489 0.505 2067.710 2816.416 0.010 100.000 20.000 1000.000 -0.002
0.489 0.505 2816.416 3795.783 0.010 100.000 30.000 1000.000 0.003
0.489 0.505 3795.783 4999.953 0.010 100.000 40.000 1000.000 0.006
0.505 0.521 2.068 15.835 0.010 23.357 1.000 7.000 0.004
0.505 0.521 15.835 26.585 0.010 100.000 1.000 10.000 0.026
0.505 0.521 26.585 39.090 0.010 61.585 1.000 10.000 0.002
0.505 0.521 39.090 52.800 0.010 61.585 1.000 20.000 0.004
0.505 0.521 52.800 68.596 0.010 100.000 1.000 30.000 0.007
0.505 0.521 68.596 87.730 0.010 100.000 1.000 30.000 0.006
0.505 0.521 87.730 113.886 0.010 100.000 1.000 40.000 0.008
0.505 0.521 113.886 155.714 0.010 100.000 2.000 70.000 -0.003
0.505 0.521 155.714 215.604 0.010 100.000 2.000 90.000 0.007
0.505 0.521 215.604 297.321 0.010 100.000 2.000 100.000 -0.001
0.505 0.521 297.321 404.333 0.010 100.000 3.000 100.000 -0.004
0.505 0.521 404.333 525.386 0.010 100.000 4.000 200.000 0.001
0.505 0.521 525.386 666.415 0.010 100.000 5.000 200.000 -0.003
0.505 0.521 666.415 844.112 0.010 100.000 6.000 300.000 0.012
0.505 0.521 844.112 1100.703 0.010 100.000 8.000 500.000 0.004
0.505 0.521 1100.703 1490.122 0.010 100.000 20.000 600.000 -0.000
0.505 0.521 1490.122 2045.064 0.010 100.000 20.000 900.000 0.008
0.505 0.521 2045.064 2804.524 0.010 100.000 20.000 1000.000 0.007
0.505 0.521 2804.524 3820.658 0.010 100.000 30.000 1000.000 0.009
0.505 0.521 3820.658 4999.709 0.010 100.000 40.000 1000.000 -0.000
0.521 0.538 2.011 15.784 0.010 23.357 1.000 7.000 0.026
0.521 0.538 15.784 26.827 0.010 23.357 1.000 10.000 -0.035
0.521 0.538 26.827 39.060 0.010 37.927 1.000 10.000 0.004
0.521 0.538 39.060 52.576 0.010 100.000 1.000 20.000 0.001
0.521 0.538 52.576 68.224 0.010 100.000 1.000 30.000 0.004
0.521 0.538 68.224 87.160 0.010 100.000 1.000 30.000 -0.022
0.521 0.538 87.160 114.282 0.010 100.000 1.000 40.000 0.007
0.521 0.538 114.282 155.163 0.010 100.000 2.000 60.000 -0.004
0.521 0.538 155.163 213.714 0.010 100.000 2.000 90.000 0.003
0.521 0.538 213.714 296.611 0.010 100.000 2.000 100.000 0.005
0.521 0.538 296.611 402.073 0.010 100.000 3.000 100.000 0.011
0.521 0.538 402.073 520.124 0.010 100.000 5.000 200.000 0.008
0.521 0.538 520.124 660.516 0.010 100.000 6.000 200.000 0.011
0.521 0.538 660.516 837.053 0.010 100.000 6.000 300.000 0.001
0.521 0.538 837.053 1085.873 0.010 100.000 8.000 400.000 0.011
0.521 0.538 1085.873 1479.356 0.010 100.000 10.000 600.000 0.000
0.521 0.538 1479.356 2027.642 0.010 100.000 20.000 800.000 0.006
0.521 0.538 2027.642 2800.954 0.010 100.000 20.000 1000.000 0.008
0.521 0.538 2800.954 3824.158 0.010 100.000 30.000 1000.000 0.003
0.521 0.538 3824.158 4999.731 0.010 100.000 40.000 1000.000 -0.001
0.538 0.556 1.959 16.035 0.010 14.384 1.000 6.000 0.038
0.538 0.556 16.035 27.261 0.010 23.357 1.000 10.000 0.003
0.538 0.556 27.261 39.707 0.010 37.927 1.000 10.000 0.005
0.538 0.556 39.707 53.309 0.010 61.585 1.000 20.000 0.011
0.538 0.556 53.309 68.910 0.010 100.000 1.000 30.000 -0.000
