Ice-Agg collection for the flat orientation.
Mode from 300 aggregates.
Characteristic value taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.652 0.707 643.165 756.003 0.043 8.859 60.000 300.000 0.000
0.652 0.707 756.003 949.802 0.043 8.859 60.000 400.000 0.003
0.652 0.707 949.802 1603.359 0.070 8.859 70.000 800.000 0.005
0.652 0.707 1603.359 2220.500 0.070 14.384 90.000 1000.000 0.001
0.652 0.707 2220.500 2856.873 0.070 61.585 70.000 1000.000 0.002
0.652 0.707 2856.873 3543.600 0.070 8.859 300.000 1000.000 0.005
0.652 0.707 3543.600 4259.175 0.070 8.859 300.000 1000.000 0.011
0.652 0.707 4259.175 4999.898 0.043 8.859 300.000 1000.000 0.007
0.707 0.965 1.710 9.069 0.070 8.859 1.000 4.000 0.025
0.707 0.965 9.069 16.011 0.043 8.859 1.000 8.000 0.006
0.707 0.965 16.011 22.534 0.070 5.456 2.000 10.000 0.002
0.707 0.965 22.534 30.083 0.070 8.859 2.000 10.000 0.005
0.707 0.965 30.083 46.160 0.070 8.859 3.000 20.000 -0.001
0.707 0.965 46.160 119.312 0.043 14.384 3.000 60.000 0.003
0.707 0.965 119.312 273.554 0.070 8.859 10.000 100.000 0.009
0.707 0.965 273.554 347.769 0.070 8.859 30.000 100.000 0.004
0.707 0.965 347.769 418.028 0.070 8.859 30.000 100.000 0.005
0.707 0.965 418.028 489.677 0.070 5.456 40.000 100.000 -0.002
0.707 0.965 489.677 567.773 0.070 8.859 40.000 200.000 -0.001
0.707 0.965 567.773 657.198 0.043 8.859 50.000 300.000 0.003
0.707 0.965 657.198 764.855 0.026 8.859 60.000 300.000 -0.002
0.707 0.965 764.855 953.648 0.070 8.859 60.000 500.000 0.006
0.707 0.965 953.648 1631.679 0.070 14.384 70.000 600.000 -0.020
0.707 0.965 1631.679 2279.315 0.070 8.859 200.000 800.000 -0.000
0.707 0.965 2279.315 2918.405 0.070 8.859 200.000 1000.000 0.001
0.707 0.965 2918.405 3591.220 0.113 5.456 300.000 1000.000 0.009
0.707 0.965 3591.220 4268.814 0.070 8.859 300.000 1000.000 0.003
0.707 0.965 4268.814 4999.994 0.070 8.859 400.000 1000.000 0.009
