Ice-Agg collection for the random orientation.
Mean value taken from the average across 300 aggregates.
Major axis taken as the largest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.458 0.474 850.922 1110.675 0.010 100.000 8.000 400.000 1354.811
0.458 0.474 1112.822 1511.878 0.010 100.000 20.000 500.000 1818.232
0.458 0.474 1519.925 2079.292 0.010 100.000 20.000 800.000 2542.589
0.458 0.474 2080.446 2854.163 0.010 100.000 20.000 1000.000 3568.639
0.458 0.474 2865.158 3819.382 0.010 100.000 30.000 1000.000 4736.482
0.458 0.474 3827.112 4997.532 0.010 100.000 40.000 1000.000 6013.023
0.474 0.490 2.683 15.697 0.010 23.357 1.000 6.000 15.177
0.474 0.490 15.715 26.449 0.010 37.927 1.000 10.000 32.297
0.474 0.490 26.535 38.960 0.010 61.585 1.000 10.000 47.143
0.474 0.490 38.975 52.709 0.010 100.000 1.000 20.000 64.510
0.474 0.490 52.787 68.709 0.010 100.000 1.000 30.000 85.023
0.474 0.490 68.873 88.216 0.010 100.000 1.000 30.000 106.250
0.474 0.490 88.295 115.842 0.010 100.000 1.000 50.000 140.337
0.474 0.490 115.912 158.608 0.010 100.000 2.000 60.000 191.802
0.474 0.490 159.215 217.310 0.010 100.000 2.000 80.000 263.247
0.474 0.490 217.738 298.106 0.010 100.000 3.000 100.000 360.722
0.474 0.490 298.984 399.382 0.010 100.000 3.000 100.000 489.647
0.474 0.490 399.738 517.772 0.010 100.000 3.000 200.000 634.517
0.474 0.490 518.552 661.363 0.010 100.000 5.000 200.000 805.397
0.474 0.490 661.925 839.754 0.010 100.000 6.000 300.000 1026.092
0.474 0.490 840.327 1096.341 0.010 100.000 7.000 400.000 1308.593
0.474 0.490 1098.006 1485.649 0.010 100.000 10.000 700.000 1767.454
0.474 0.490 1495.666 2050.356 0.010 100.000 20.000 800.000 2484.176
0.474 0.490 2050.407 2810.445 0.010 100.000 30.000 1000.000 3328.536
0.474 0.490 2815.105 3805.492 0.010 100.000 30.000 1000.000 4633.723
0.474 0.490 3810.382 4990.875 0.010 100.000 40.000 1000.000 6065.273
0.490 0.506 2.357 15.616 0.010 23.357 1.000 6.000 14.287
0.490 0.506 15.633 26.604 0.010 37.927 1.000 10.000 30.709
0.490 0.506 26.694 39.037 0.010 100.000 1.000 10.000 46.543
0.490 0.506 39.090 52.654 0.010 61.585 1.000 20.000 65.393
0.490 0.506 52.834 68.542 0.010 100.000 1.000 30.000 82.836
0.490 0.506 68.600 88.046 0.010 100.000 1.000 30.000 105.680
0.490 0.506 88.063 115.574 0.010 100.000 1.000 40.000 138.545
0.490 0.505 115.656 157.438 0.010 100.000 2.000 60.000 189.435
0.490 0.506 158.859 216.299 0.010 100.000 2.000 90.000 267.038
0.490 0.506 217.104 297.049 0.010 100.000 3.000 100.000 362.542
0.490 0.506 298.237 400.970 0.010 100.000 3.000 100.000 475.049
0.490 0.506 401.474 519.313 0.010 100.000 4.000 200.000 632.719
0.490 0.506 520.965 664.963 0.010 100.000 5.000 300.000 803.048
0.490 0.506 666.005 844.663 0.010 100.000 7.000 300.000 1048.429
0.490 0.506 846.657 1110.440 0.010 100.000 8.000 400.000 1323.771
0.490 0.506 1112.459 1510.501 0.010 100.000 20.000 600.000 1854.335
0.490 0.506 1512.403 2064.064 0.010 100.000 20.000 800.000 2478.138
0.490 0.506 2068.566 2814.684 0.010 100.000 20.000 1000.000 3401.199
0.490 0.506 2818.763 3794.660 0.010 100.000 30.000 1000.000 4545.000
0.490 0.506 3796.330 4997.278 0.010 100.000 40.000 1000.000 5935.025
0.506 0.522 2.337 15.799 0.010 23.357 1.000 7.000 15.107
0.506 0.522 15.927 26.513 0.010 100.000 1.000 10.000 30.780
0.506 0.522 26.638 39.038 0.010 61.585 1.000 10.000 45.496
0.506 0.522 39.068 52.660 0.010 61.585 1.000 20.000 62.787
0.506 0.522 52.792 68.485 0.010 100.000 1.000 30.000 82.673
0.506 0.522 68.519 87.511 0.010 100.000 1.000 30.000 104.294
0.506 0.522 87.586 113.187 0.010 100.000 1.000 40.000 131.720
0.506 0.522 113.609 154.734 0.010 100.000 2.000 70.000 180.524
0.506 0.522 155.229 214.487 0.010 100.000 2.000 90.000 257.947
0.506 0.522 215.352 296.850 0.010 100.000 2.000 100.000 349.762
0.506 0.522 297.032 403.931 0.010 100.000 3.000 100.000 481.227
0.506 0.522 404.214 524.328 0.010 100.000 4.000 200.000 632.795
0.506 0.522 524.948 665.171 0.010 100.000 5.000 200.000 813.267
0.506 0.522 665.705 843.008 0.010 100.000 6.000 300.000 1013.813
0.506 0.522 843.704 1098.936 0.010 100.000 8.000 500.000 1301.491
0.506 0.522 1100.140 1487.682 0.010 100.000 20.000 600.000 1746.102
0.506 0.522 1490.661 2044.356 0.010 100.000 20.000 900.000 2410.456
0.506 0.522 2047.328 2804.203 0.010 100.000 20.000 1000.000 3350.590
0.506 0.522 2805.031 3816.709 0.010 100.000 30.000 1000.000 4510.432
0.506 0.522 3821.749 4996.123 0.010 100.000 40.000 1000.000 5822.522
0.522 0.539 2.251 15.818 0.010 23.357 1.000 7.000 14.990
0.522 0.539 15.821 26.860 0.010 23.357 1.000 10.000 31.034
0.522 0.539 26.918 39.066 0.010 37.927 1.000 10.000 45.060
0.522 0.539 39.202 52.679 0.010 100.000 1.000 20.000 63.579
0.522 0.539 52.703 68.321 0.010 100.000 1.000 30.000 82.835
0.522 0.539 68.388 87.327 0.010 100.000 1.000 30.000 103.533
0.522 0.539 87.420 114.481 0.010 100.000 1.000 40.000 132.146
0.522 0.539 114.616 155.490 0.010 100.000 2.000 60.000 178.881
0.522 0.539 155.663 213.647 0.010 100.000 2.000 90.000 253.819
0.522 0.539 214.206 296.878 0.010 100.000 2.000 100.000 350.703
