Ice-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.054 0.072 3840.718 4997.173 0.010 100.000 200.000 1000.000 9234.155
0.072 0.094 1.686 12.726 0.010 61.585 1.000 7.000 17.216
0.072 0.095 12.825 21.438 0.010 100.000 1.000 10.000 28.366
0.072 0.095 21.464 31.596 0.010 61.585 1.000 10.000 55.838
0.072 0.094 31.717 42.063 0.010 100.000 1.000 20.000 82.941
0.072 0.095 42.225 54.477 0.010 100.000 2.000 30.000 105.358
0.072 0.095 54.632 68.936 0.010 61.585 3.000 40.000 136.637
0.072 0.095 69.017 86.489 0.010 61.585 3.000 40.000 168.234
0.072 0.094 86.640 113.041 0.010 100.000 3.000 60.000 223.973
0.072 0.095 113.189 147.046 0.010 61.585 6.000 70.000 296.299
0.072 0.095 147.513 206.234 0.010 61.585 6.000 100.000 322.263
0.072 0.094 206.436 296.834 0.010 61.585 9.000 100.000 538.474
0.072 0.094 297.530 393.365 0.010 61.585 20.000 200.000 770.510
0.072 0.094 393.547 507.013 0.010 61.585 20.000 200.000 1100.612
0.072 0.095 507.485 654.612 0.010 61.585 30.000 300.000 1275.107
0.072 0.094 655.628 865.974 0.010 100.000 40.000 500.000 1455.569
0.072 0.095 869.748 1248.219 0.010 100.000 40.000 700.000 2463.518
0.072 0.095 1250.416 1775.238 0.010 100.000 50.000 900.000 2747.261
0.072 0.095 1779.924 2710.975 0.010 100.000 70.000 1000.000 5023.340
0.072 0.095 2719.452 3763.070 0.010 100.000 70.000 1000.000 5809.566
0.072 0.095 3773.814 4997.989 0.010 61.585 200.000 1000.000 9367.862
0.095 0.121 1.989 13.510 0.010 37.927 1.000 7.000 19.827
0.095 0.121 13.548 23.699 0.010 37.927 1.000 10.000 33.878
0.095 0.121 23.722 34.691 0.010 61.585 2.000 20.000 60.752
0.095 0.121 34.821 47.680 0.010 37.927 2.000 20.000 71.940
0.095 0.121 47.790 61.834 0.010 100.000 2.000 30.000 119.105
0.095 0.121 61.861 75.360 0.010 61.585 3.000 40.000 119.496
0.095 0.121 75.411 90.435 0.010 61.585 4.000 40.000 161.480
0.095 0.121 90.585 108.656 0.010 61.585 2.000 60.000 178.187
0.095 0.121 108.773 129.926 0.010 37.927 5.000 70.000 230.528
0.095 0.121 130.182 163.274 0.010 37.927 7.000 90.000 288.966
0.095 0.120 163.611 250.386 0.010 37.927 8.000 100.000 398.258
0.095 0.121 250.559 323.484 0.010 37.927 20.000 100.000 494.773
0.095 0.121 324.227 420.687 0.010 37.927 20.000 200.000 643.902
0.095 0.121 421.620 537.770 0.010 37.927 30.000 200.000 1007.079
0.095 0.121 538.113 723.411 0.010 37.927 30.000 300.000 1091.107
0.095 0.121 724.414 1025.287 0.010 100.000 40.000 500.000 1883.820
0.095 0.121 1026.865 1558.538 0.010 100.000 40.000 700.000 2679.779
0.095 0.121 1559.080 2496.552 0.010 61.585 60.000 1000.000 3868.215
0.095 0.121 2509.718 3619.462 0.010 61.585 90.000 1000.000 6021.559
0.095 0.121 3624.793 4986.247 0.010 100.000 100.000 1000.000 8751.539
0.121 0.151 1.801 13.642 0.010 37.927 1.000 7.000 16.879
0.121 0.151 13.719 24.876 0.010 37.927 1.000 10.000 33.658
0.121 0.151 24.971 37.119 0.010 37.927 2.000 20.000 57.744
0.121 0.151 37.198 50.838 0.010 37.927 2.000 20.000 82.713
0.121 0.151 50.954 63.003 0.010 37.927 3.000 30.000 106.233
0.121 0.151 63.144 74.037 0.010 100.000 2.000 40.000 112.691
0.121 0.151 74.252 86.187 0.010 100.000 2.000 40.000 145.877
0.121 0.151 86.214 100.291 0.016 100.000 3.000 50.000 180.945
0.121 0.151 100.400 117.628 0.016 37.927 6.000 50.000 180.966
0.121 0.151 117.672 146.107 0.016 37.927 6.000 80.000 212.727
0.121 0.151 146.353 222.468 0.010 100.000 4.000 100.000 269.563
0.121 0.151 222.563 292.204 0.010 37.927 20.000 100.000 509.406
0.121 0.151 292.491 374.665 0.010 37.927 20.000 200.000 667.491
0.121 0.151 376.264 478.589 0.010 37.927 20.000 200.000 850.697
0.121 0.151 480.124 655.403 0.010 37.927 30.000 300.000 1099.776
0.121 0.151 656.962 919.556 0.010 100.000 40.000 500.000 1243.017
0.121 0.151 920.300 1444.442 0.010 61.585 50.000 700.000 2069.033
0.121 0.151 1447.135 2402.497 0.010 100.000 60.000 1000.000 3919.618
0.121 0.151 2405.167 3582.056 0.010 61.585 80.000 1000.000 4579.304
0.121 0.151 3585.453 4989.118 0.010 37.927 200.000 1000.000 7917.586
0.151 0.186 1.641 13.654 0.016 23.357 1.000 6.000 13.579
0.151 0.186 13.753 24.662 0.016 37.927 1.000 10.000 32.211
0.151 0.187 24.678 36.940 0.010 37.927 2.000 20.000 57.004
0.151 0.187 36.977 48.543 0.010 37.927 2.000 30.000 81.496
0.151 0.186 48.589 58.815 0.016 37.927 3.000 30.000 80.943
