Ice-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.127 0.157 370.769 472.067 0.010 37.927 20.000 200.000 850.697
0.127 0.157 472.067 648.140 0.010 37.927 30.000 300.000 1099.776
0.127 0.157 648.140 911.240 0.010 100.000 40.000 500.000 1243.017
0.127 0.157 911.240 1427.774 0.010 61.585 50.000 700.000 2069.033
0.127 0.157 1427.774 2396.789 0.010 100.000 60.000 1000.000 3919.618
0.127 0.157 2396.789 3587.321 0.010 61.585 80.000 1000.000 4579.304
0.127 0.157 3587.321 4999.790 0.010 37.927 200.000 1000.000 7917.586
0.157 0.193 1.636 13.698 0.016 23.357 1.000 6.000 13.579
0.157 0.193 13.698 24.672 0.016 37.927 1.000 10.000 32.211
0.157 0.193 24.672 36.820 0.010 37.927 2.000 20.000 57.004
0.157 0.193 36.820 48.021 0.010 37.927 2.000 30.000 81.496
0.157 0.193 48.021 58.070 0.016 37.927 3.000 30.000 80.943
0.157 0.193 58.070 67.627 0.016 37.927 3.000 40.000 109.920
0.157 0.193 67.627 77.956 0.010 37.927 4.000 30.000 114.623
0.157 0.193 77.956 90.228 0.016 37.927 4.000 50.000 134.122
0.157 0.193 90.228 107.594 0.016 23.357 5.000 60.000 171.009
0.157 0.193 107.594 136.578 0.016 23.357 7.000 80.000 200.445
0.157 0.193 136.578 202.737 0.016 100.000 4.000 100.000 278.096
0.157 0.193 202.737 271.282 0.010 23.357 20.000 100.000 437.699
0.157 0.193 271.282 350.691 0.016 37.927 20.000 200.000 464.247
0.157 0.193 350.691 456.889 0.010 23.357 20.000 200.000 791.123
0.157 0.193 456.889 626.799 0.010 37.927 30.000 300.000 934.134
0.157 0.193 626.799 881.944 0.010 61.585 40.000 400.000 1294.755
0.157 0.193 881.944 1419.254 0.010 61.585 40.000 700.000 2005.407
0.157 0.193 1419.254 2410.981 0.010 61.585 70.000 1000.000 3879.882
0.157 0.193 2410.981 3580.875 0.010 100.000 80.000 1000.000 5364.403
0.157 0.193 3580.875 4999.942 0.016 23.357 200.000 1000.000 6213.755
0.193 0.235 1.608 13.779 0.016 23.357 1.000 7.000 15.547
0.193 0.235 13.779 24.971 0.016 23.357 1.000 10.000 29.833
0.193 0.235 24.971 35.690 0.016 23.357 2.000 20.000 49.267
0.193 0.235 35.690 45.330 0.016 37.927 2.000 20.000 57.171
0.193 0.235 45.330 54.191 0.016 37.927 2.000 30.000 70.545
0.193 0.235 54.191 62.771 0.016 23.357 3.000 30.000 96.031
0.193 0.235 62.771 72.178 0.016 23.357 3.000 40.000 114.069
0.193 0.235 72.178 84.255 0.016 23.357 4.000 40.000 125.854
0.193 0.235 84.255 100.419 0.026 23.357 5.000 50.000 150.460
0.193 0.235 100.419 127.835 0.026 23.357 7.000 70.000 161.047
0.193 0.235 127.835 185.905 0.016 23.357 8.000 100.000 253.214
0.193 0.235 185.905 254.682 0.016 14.384 20.000 100.000 294.349
0.193 0.235 254.682 335.901 0.016 23.357 20.000 100.000 417.669
0.193 0.235 335.901 444.412 0.016 23.357 20.000 200.000 544.745
0.193 0.235 444.412 611.322 0.010 37.927 30.000 300.000 727.147
0.193 0.235 611.322 860.143 0.010 23.357 40.000 400.000 1014.351
0.193 0.235 860.143 1390.128 0.016 100.000 40.000 700.000 1425.482
0.193 0.235 1390.128 2388.861 0.016 37.927 70.000 1000.000 2272.244
0.193 0.235 2388.861 3552.538 0.010 61.585 80.000 1000.000 3879.268
0.193 0.235 3552.538 4999.933 0.010 23.357 200.000 1000.000 5717.375
0.235 0.284 1.584 13.817 0.026 23.357 1.000 6.000 14.034
0.235 0.284 13.817 24.504 0.016 23.357 1.000 10.000 28.392
0.235 0.284 24.504 33.567 0.016 23.357 2.000 10.000 48.469
0.235 0.284 33.567 41.863 0.016 23.357 2.000 20.000 57.069
0.235 0.284 41.863 50.094 0.026 14.384 3.000 20.000 64.175
0.235 0.284 50.094 58.660 0.026 23.357 3.000 20.000 85.635
0.235 0.284 58.660 67.886 0.026 14.384 4.000 40.000 96.685
