Agg-Agg collection for the random orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.701 0.909 153.826 303.164 776.002
0.701 0.897 303.532 527.463 1071.950
0.701 0.928 528.370 817.149 1488.543
0.701 0.900 818.022 1417.663 2078.140
0.701 0.927 1420.498 2821.741 2701.012
0.701 0.934 2824.115 4999.959 3893.674
0.008 0.273 2.400 23.545 9.172
0.008 0.273 23.552 45.987 18.469
0.007 0.272 46.216 85.503 28.167
0.007 0.273 85.603 160.197 40.017
0.009 0.272 160.554 282.975 50.611
0.010 0.273 283.455 485.591 68.706
0.006 0.272 485.791 872.279 87.901
0.010 0.272 875.361 1633.155 116.147
0.006 0.273 1640.237 2912.794 155.651
0.010 0.272 2915.609 4995.076 222.237
0.273 0.327 2.341 27.914 300.966
0.273 0.327 28.079 55.774 400.680
0.273 0.327 55.898 101.031 527.414
0.273 0.327 101.199 184.008 646.334
0.273 0.327 184.365 318.588 838.926
0.273 0.327 318.888 529.512 1131.347
0.273 0.327 530.135 910.374 1518.665
0.273 0.327 913.175 1671.653 2052.934
0.273 0.327 1673.790 2940.853 2982.574
0.273 0.327 2941.059 4999.708 3817.277
0.327 0.359 2.812 28.072 9.433
0.327 0.359 28.142 54.676 18.768
0.327 0.359 54.740 96.275 28.147
0.327 0.359 96.379 178.074 40.227
0.327 0.359 178.689 318.332 51.979
0.327 0.359 318.700 529.301 67.439
0.327 0.359 529.650 891.480 85.750
0.327 0.359 892.367 1612.698 109.535
0.327 0.359 1621.614 2928.102 160.711
0.327 0.359 2935.315 4982.445 225.804
0.359 0.384 2.125 27.476 301.680
0.359 0.384 27.809 54.233 404.612
0.359 0.384 54.354 94.798 494.060
0.359 0.384 94.987 174.111 652.250
0.359 0.384 174.214 314.097 836.080
0.359 0.384 314.394 528.312 1096.270
0.359 0.384 528.988 894.203 1515.655
0.359 0.384 896.172 1622.659 2097.365
0.359 0.384 1626.080 2954.544 2917.046
0.359 0.384 2961.398 4996.608 3743.920
0.384 0.405 2.328 27.093 9.355
0.384 0.405 27.161 53.244 18.345
0.384 0.405 53.402 93.277 28.666
0.384 0.405 93.394 171.486 40.543
0.384 0.405 172.052 309.786 53.108
0.384 0.405 311.031 527.630 64.664
0.384 0.405 529.673 884.997 86.700
0.384 0.405 885.355 1602.347 112.486
0.384 0.405 1602.608 2924.368 158.793
0.384 0.405 2932.351 4986.315 215.548
0.405 0.424 2.872 27.020 310.427
0.405 0.424 27.102 53.180 398.643
0.405 0.423 53.181 91.810 518.132
0.405 0.423 91.834 170.070 679.602
0.405 0.424 170.963 312.840 811.632
0.405 0.423 313.263 531.811 1112.519
0.405 0.424 532.224 876.505 1589.030
0.405 0.423 878.646 1567.365 2124.312
0.405 0.424 1571.611 2866.831 2977.007
0.405 0.424 2878.458 4994.306 3724.582
0.424 0.441 2.431 26.634 9.156
0.424 0.441 26.691 52.303 18.894
0.424 0.441 52.454 89.595 29.498
0.424 0.441 89.792 164.156 40.099
0.424 0.441 164.938 303.463 56.493
0.424 0.441 303.583 519.237 71.979
0.424 0.441 520.889 857.506 91.774
0.424 0.441 857.840 1538.296 118.954
0.424 0.441 1540.318 2874.963 159.805
0.424 0.441 2877.297 4998.673 225.904
0.441 0.457 2.366 26.599 319.517
0.441 0.458 26.652 52.406 401.256
0.441 0.458 52.433 88.916 528.709
0.441 0.458 89.032 162.263 662.398
0.441 0.458 162.320 304.190 823.786
0.441 0.458 304.871 523.517 1088.040
0.441 0.458 524.127 857.532 1551.803
0.441 0.458 858.026 1540.451 2075.196
0.441 0.458 1547.903 2869.847 2788.199
0.441 0.458 2872.654 4993.020 3900.900
0.458 0.474 2.103 26.651 10.181
0.458 0.474 26.689 52.360 19.392
0.458 0.474 52.535 88.614 29.457
0.458 0.474 88.738 159.861 43.052
0.458 0.474 160.268 299.259 55.424
0.458 0.474 299.984 520.598 69.338
0.458 0.474 521.503 848.621 88.485
0.458 0.474 851.647 1516.310 117.739
0.458 0.474 1521.271 2859.529 160.621
0.458 0.474 2863.414 4995.631 227.866
0.474 0.490 2.175 26.437 314.718
0.474 0.490 26.497 52.717 418.873
0.474 0.490 52.746 88.096 532.120
0.474 0.490 88.343 158.537 678.024
0.474 0.490 158.912 297.798 833.386
0.474 0.490 298.243 517.965 1095.884
0.474 0.490 518.673 839.751 1543.003
0.474 0.490 841.079 1492.363 2044.158
0.474 0.490 1495.858 2812.195 2897.849
0.474 0.490 2820.171 4997.042 3964.423
0.490 0.506 2.334 26.542 10.255
0.490 0.506 26.636 52.602 19.890
0.490 0.506 52.738 87.873 31.009
0.490 0.506 88.114 157.919 43.092
0.490 0.506 158.232 297.491 55.796
0.490 0.506 298.924 520.433 70.602
0.490 0.506 521.276 846.423 93.575
0.490 0.506 847.305 1509.437 118.077
0.490 0.506 1515.036 2815.449 161.549
0.490 0.506 2819.124 4995.241 233.270
0.506 0.522 2.361 26.502 315.359
0.506 0.522 26.623 52.672 424.110
0.506 0.522 52.726 87.472 553.831
0.506 0.522 87.584 154.888 694.559
0.506 0.522 155.535 295.858 857.435
0.506 0.522 296.912 523.860 1127.383
0.506 0.522 524.948 842.510 1564.983
0.506 0.522 843.518 1484.872 2164.181
0.506 0.522 1490.609 2801.817 2945.394
0.506 0.522 2809.662 4987.367 3979.999
0.522 0.539 2.240 26.781 10.518
0.522 0.539 26.903 52.637 20.466
0.522 0.539 52.744 87.238 31.701
0.522 0.539 87.354 155.179 43.186
0.522 0.539 155.601 296.948 55.500
0.522 0.539 297.378 520.365 70.125
0.522 0.539 521.244 837.041 89.536
0.522 0.539 838.510 1477.506 120.004
0.522 0.539 1480.599 2802.331 166.054
0.522 0.539 2803.962 4986.099 230.574
0.539 0.557 2.243 27.152 312.957
0.539 0.557 27.209 53.218 432.455
0.539 0.557 53.282 87.452 534.016
0.539 0.557 87.634 154.433 670.392
0.539 0.557 154.760 296.882 843.254
0.539 0.557 297.061 520.595 1140.510
0.539 0.557 522.653 833.784 1584.900
0.539 0.557 837.156 1469.819 2139.063
0.539 0.557 1469.967 2794.798 2982.235
0.539 0.557 2796.131 4999.133 4122.673
0.557 0.576 2.193 27.722 11.167
0.557 0.576 27.738 53.675 21.201
0.557 0.576 53.725 88.164 32.200
0.557 0.576 88.291 155.565 44.010
0.557 0.576 155.764 298.218 56.758
0.557 0.576 299.102 527.117 70.029
0.557 0.576 528.835 834.991 92.772
0.557 0.576 836.992 1455.087 121.511
0.557 0.576 1463.562 2795.472 163.767
0.557 0.576 2799.559 4999.799 241.189
0.576 0.598 2.114 28.386 324.139
0.576 0.598 28.402 54.496 438.621
0.576 0.598 54.543 88.085 557.423
0.576 0.598 88.464 156.897 693.011
0.576 0.598 156.939 303.625 883.385
0.576 0.598 304.215 530.017 1127.690
0.576 0.598 530.515 842.307 1585.549
0.576 0.598 843.624 1456.248 2264.080
0.576 0.598 1465.080 2813.726 3077.398
0.576 0.598 2821.320 4998.977 4025.885
0.598 0.623 2.045 28.581 11.192
0.598 0.623 28.697 54.620 21.499
