Agg-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.710 0.931 120.486 348.061 222.999
0.710 0.929 348.612 489.794 318.723
0.710 0.943 490.141 656.777 429.962
0.710 0.925 658.492 953.026 640.026
0.710 0.940 954.840 2275.581 1126.724
0.710 0.933 2280.318 3585.066 1759.505
0.710 0.921 3589.333 4997.754 2324.781
0.007 0.027 1.639 27.057 5.840
0.007 0.027 27.162 58.234 12.538
0.008 0.027 58.251 95.470 18.678
0.008 0.027 95.751 151.012 24.556
0.007 0.027 151.188 285.530 29.234
0.006 0.027 286.980 587.564 35.561
0.007 0.027 589.109 916.996 41.405
0.008 0.027 917.863 1390.963 48.103
0.006 0.027 1394.187 2269.659 52.636
0.006 0.027 2275.741 4993.467 72.534
0.027 0.039 1.776 24.789 95.557
0.027 0.039 24.831 54.308 136.433
0.027 0.039 54.517 97.046 193.718
0.027 0.039 97.084 149.658 283.678
0.027 0.039 149.903 253.765 341.642
0.027 0.039 254.298 515.541 508.060
0.027 0.039 516.685 901.567 728.542
0.027 0.039 903.933 1429.625 1362.995
0.027 0.039 1431.335 2398.879 2009.741
0.027 0.039 2405.218 4991.673 2825.026
0.039 0.054 1.797 20.617 5.931
0.039 0.054 20.651 42.945 14.013
0.039 0.054 42.957 77.453 20.269
0.039 0.054 77.525 137.105 26.586
0.039 0.054 137.299 255.557 32.774
0.039 0.054 256.165 467.971 37.233
0.039 0.054 469.861 796.137 46.721
0.039 0.054 796.781 1407.681 54.840
0.039 0.054 1412.744 2694.682 69.266
0.039 0.054 2697.604 4992.848 89.735
0.054 0.072 1.655 20.127 138.260
0.054 0.072 20.323 40.454 207.189
0.054 0.072 40.512 67.760 264.665
0.054 0.072 67.956 122.094 341.162
0.054 0.072 122.110 243.817 467.673
0.054 0.072 244.022 442.742 609.950
0.054 0.072 443.522 729.108 1041.422
0.054 0.072 729.756 1385.596 1765.406
0.054 0.072 1387.268 2845.950 2603.153
0.054 0.072 2848.764 4998.108 3563.388
0.072 0.095 2.093 21.372 6.358
0.072 0.095 21.450 42.172 13.200
0.072 0.095 42.287 68.951 18.436
0.072 0.095 69.053 112.994 25.339
0.072 0.095 113.344 206.063 32.629
0.072 0.095 206.477 393.445 46.004
0.072 0.094 393.796 654.572 52.594
0.072 0.095 657.367 1250.294 70.821
0.072 0.095 1252.553 2704.019 90.524
0.072 0.095 2723.558 4987.844 154.929
0.095 0.121 1.916 23.620 204.420
0.095 0.121 23.768 47.750 258.540
0.095 0.121 47.827 75.364 352.072
0.095 0.121 75.454 108.610 478.627
0.095 0.121 108.778 162.996 615.629
0.095 0.121 163.588 323.690 889.461
0.095 0.121 324.019 537.881 1460.178
0.095 0.121 538.230 1024.171 2221.403
0.095 0.121 1030.077 2499.317 3020.342
0.095 0.121 2508.936 4993.170 4099.807
0.121 0.151 1.761 24.891 5.734
0.121 0.151 25.035 50.895 11.470
0.121 0.151 50.996 74.026 18.332
0.121 0.151 74.066 100.358 24.863
0.121 0.151 100.437 145.795 35.072
0.121 0.151 146.354 292.028 47.405
0.121 0.151 292.943 479.109 64.165
0.121 0.151 480.060 918.530 87.545
0.121 0.151 923.245 2400.638 147.331
0.121 0.151 2408.962 4995.392 230.556
0.151 0.187 1.696 24.640 293.540
0.151 0.187 24.683 48.548 375.881
0.151 0.187 48.597 68.623 463.926
0.151 0.187 68.694 91.572 591.006
0.151 0.187 91.693 137.864 732.794
0.151 0.187 138.074 274.992 1224.981
0.151 0.187 275.420 459.083 1789.045
0.151 0.187 460.176 885.561 2424.521
0.151 0.187 887.034 2404.061 3340.651
0.151 0.187 2408.542 4984.385 4190.160
0.187 0.229 1.768 24.947 6.165
0.187 0.229 24.961 45.806 12.100
0.187 0.229 45.870 63.509 17.424
0.187 0.229 63.564 85.193 25.140
0.187 0.229 85.241 128.639 35.725
0.187 0.229 128.978 256.067 50.989
0.187 0.229 256.318 444.537 71.682
0.187 0.228 446.204 860.983 137.476
0.187 0.229 863.001 2387.087 202.131
0.187 0.229 2405.489 4998.064 272.787
0.229 0.279 1.934 24.501 367.007
0.229 0.279 24.581 42.169 433.144
0.229 0.279 42.256 59.028 552.277
0.229 0.279 59.071 79.849 681.518
0.229 0.279 79.863 121.045 837.816
0.229 0.279 121.233 241.930 1455.753
0.229 0.279 242.344 431.823 2044.868
0.229 0.279 431.883 841.897 2584.117
0.229 0.279 844.903 2404.713 3298.360
0.229 0.279 2405.460 4997.713 3898.494
0.279 0.337 1.772 22.988 6.217
0.279 0.337 23.004 38.979 11.743
0.279 0.337 38.986 55.427 17.807
