Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.556 0.576 114.177 155.669 245.597 
0.556 0.576 155.669 214.206 359.060 
0.556 0.576 214.206 299.457 496.131 
0.556 0.576 299.457 406.963 695.137 
0.556 0.576 406.963 528.749 924.693 
0.556 0.576 528.749 667.432 1111.968 
0.556 0.576 667.432 836.908 1428.884 
0.556 0.576 836.908 1078.523 1721.528 
0.556 0.576 1078.523 1459.752 2357.677 
0.556 0.576 1459.752 2008.696 3123.356 
0.556 0.576 2008.696 2800.368 4466.797 
0.556 0.576 2800.368 3830.092 6436.112 
0.556 0.576 3830.092 4999.994 8358.064 
0.576 0.597 1.885 16.800 19.712 
0.576 0.597 16.800 28.381 41.320 
0.576 0.597 28.381 40.803 65.730 
0.576 0.597 40.803 54.480 91.564 
0.576 0.597 54.480 70.035 123.496 
0.576 0.597 70.035 88.211 152.290 
0.576 0.597 88.211 114.662 194.257 
0.576 0.597 114.662 156.848 260.386 
0.576 0.597 156.848 216.230 338.314 
0.576 0.597 216.230 303.278 512.989 
0.576 0.597 303.278 407.621 677.995 
0.576 0.597 407.621 529.669 915.659 
0.576 0.597 529.669 668.721 1099.623 
0.576 0.597 668.721 842.355 1462.317 
0.576 0.597 842.355 1077.889 1778.874 
0.576 0.597 1077.889 1459.790 2442.431 
0.576 0.597 1459.790 2017.562 3175.269 
0.576 0.597 2017.562 2812.517 4580.276 
0.576 0.597 2812.517 3848.488 5936.589 
0.576 0.597 3848.488 4999.894 8312.997 
0.597 0.623 2.016 17.091 20.993 
0.597 0.623 17.091 28.629 43.310 
0.597 0.623 28.629 41.181 67.022 
0.597 0.623 41.181 54.658 86.459 
0.597 0.623 54.658 69.598 120.661 
0.597 0.623 69.598 87.530 149.437 
0.597 0.623 87.530 113.603 194.519 
0.597 0.623 113.603 156.064 246.085 
0.597 0.623 156.064 215.776 339.025 
0.597 0.623 215.776 301.167 476.342 
0.597 0.623 301.167 406.565 682.903 
0.597 0.623 406.565 525.619 858.699 
0.597 0.623 525.619 661.810 1149.437 
0.597 0.623 661.810 829.542 1386.994 
0.597 0.623 829.542 1058.257 1830.819 
0.597 0.623 1058.257 1434.368 2283.020 
0.597 0.623 1434.368 2001.650 3098.723 
0.597 0.623 2001.650 2827.656 4421.755 
0.597 0.623 2827.656 3837.685 6484.253 
0.597 0.623 3837.685 4999.871 8681.209 
0.623 0.654 1.941 17.263 19.615 
0.623 0.654 17.263 29.172 43.078 
0.623 0.654 29.172 41.906 68.391 
0.623 0.654 41.906 55.148 90.222 
0.623 0.654 55.148 69.527 115.879 
0.623 0.654 69.527 87.203 151.915 
0.623 0.654 87.203 112.969 188.668 
0.623 0.654 112.969 154.913 248.932 
0.623 0.654 154.913 216.686 365.545 
0.623 0.654 216.686 305.762 490.926 
0.623 0.654 305.762 413.938 694.369 
0.623 0.654 413.938 531.909 901.768 
0.623 0.654 531.909 671.510 1173.025 
0.623 0.654 671.510 839.122 1462.432 
0.623 0.654 839.122 1071.754 1798.062 
0.623 0.654 1071.754 1450.233 2410.822 
0.623 0.654 1450.233 2023.995 3229.864 
0.623 0.654 2023.995 2832.324 4758.301 
0.623 0.654 2832.324 3859.876 6228.197 
0.623 0.654 3859.876 4999.766 8112.714 
0.654 0.701 1.728 17.397 21.254 
0.654 0.701 17.397 29.316 42.674 
0.654 0.701 29.316 41.780 66.067 
0.654 0.701 41.780 54.858 93.613 
0.654 0.701 54.858 69.791 120.682 
0.654 0.701 69.791 87.176 149.361 
0.654 0.701 87.176 113.293 191.590 
0.654 0.701 113.293 155.795 248.624 
0.654 0.701 155.795 217.189 367.266 
0.654 0.701 217.189 307.899 493.103 
0.654 0.701 307.899 415.476 711.326 
0.654 0.701 415.476 533.665 895.489 
0.654 0.701 533.665 669.692 1160.557 
0.654 0.701 669.692 829.054 1469.861 
0.654 0.701 829.054 1050.558 1783.766 
0.654 0.701 1050.558 1422.824 2222.117 
0.654 0.701 1422.824 1999.265 3262.702 
0.654 0.701 1999.265 2826.120 4619.136 
0.654 0.701 2826.120 3850.650 6166.391 
0.654 0.701 3850.650 4999.985 8499.981 
0.701 0.973 1.813 17.547 19.918 
0.701 0.973 17.547 29.485 44.013 
0.701 0.973 29.485 42.070 70.616 
0.701 0.973 42.070 54.693 91.365 
0.701 0.973 54.693 68.856 117.942 
0.701 0.973 68.856 86.432 152.203 
0.701 0.973 86.432 110.708 191.756 
0.701 0.973 110.708 153.548 243.301 
0.701 0.973 153.548 215.082 346.474 
0.701 0.973 215.082 303.130 499.120 
0.701 0.973 303.130 410.670 687.244 
0.701 0.973 410.670 528.127 921.732 
0.701 0.973 528.127 657.337 1120.853 
0.701 0.973 657.337 817.302 1398.725 
0.701 0.973 817.302 1043.059 1800.520 
0.701 0.973 1043.059 1418.950 2324.860 
0.701 0.973 1418.950 1984.089 3276.650 
0.701 0.973 1984.089 2823.800 4629.786 
0.701 0.973 2823.800 3877.075 6522.375 
0.701 0.973 3877.075 4999.971 8466.862 
