Agg-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.710 0.931 120.486 348.061 662.238
0.710 0.929 348.612 489.794 972.032
0.710 0.943 490.141 656.777 1280.116
0.710 0.925 658.492 953.026 2122.219
0.710 0.940 954.840 2275.581 3589.505
0.710 0.933 2280.318 3585.066 5313.092
0.710 0.921 3589.333 4997.754 8186.733
0.007 0.027 1.639 27.057 15.733
0.007 0.027 27.162 58.234 31.759
0.008 0.027 58.251 95.470 47.932
0.008 0.027 95.751 151.012 61.440
0.007 0.027 151.188 285.530 76.512
0.006 0.027 286.980 587.564 90.466
0.007 0.027 589.109 916.996 101.103
0.008 0.027 917.863 1390.963 117.458
0.006 0.027 1394.187 2269.659 148.415
0.006 0.027 2275.741 4993.467 169.263
0.027 0.039 1.776 24.789 252.607
0.027 0.039 24.831 54.308 367.797
0.027 0.039 54.517 97.046 468.829
0.027 0.039 97.084 149.658 665.265
0.027 0.039 149.903 253.765 871.142
0.027 0.039 254.298 515.541 1292.804
0.027 0.039 516.685 901.567 1906.446
0.027 0.039 903.933 1429.625 3633.756
0.027 0.039 1431.335 2398.879 5448.765
0.027 0.039 2405.218 4991.673 7490.415
0.039 0.054 1.797 20.617 13.934
0.039 0.054 20.651 42.945 29.789
0.039 0.054 42.957 77.453 42.169
0.039 0.054 77.525 137.105 56.208
0.039 0.054 137.299 255.557 64.892
0.039 0.054 256.165 467.971 85.333
0.039 0.054 469.861 796.137 93.907
0.039 0.054 796.781 1407.681 114.090
0.039 0.054 1412.744 2694.682 147.186
0.039 0.054 2697.604 4992.848 194.183
0.054 0.072 1.655 20.127 280.562
0.054 0.072 20.323 40.454 404.705
0.054 0.072 40.512 67.760 542.838
0.054 0.072 67.956 122.094 735.699
0.054 0.072 122.110 243.817 948.527
0.054 0.072 244.022 442.742 1330.052
0.054 0.072 443.522 729.108 2167.804
0.054 0.072 729.756 1385.596 3719.941
0.054 0.072 1387.268 2845.950 5247.024
0.054 0.072 2848.764 4998.108 6832.889
0.072 0.095 2.093 21.372 11.384
0.072 0.095 21.450 42.172 24.934
0.072 0.095 42.287 68.951 36.572
0.072 0.095 69.053 112.994 49.437
0.072 0.095 113.344 206.063 64.266
0.072 0.095 206.477 393.445 83.570
0.072 0.094 393.796 654.572 104.414
0.072 0.095 657.367 1250.294 131.264
0.072 0.095 1252.553 2704.019 176.262
0.072 0.095 2723.558 4987.844 293.529
0.095 0.121 1.916 23.620 383.465
0.095 0.121 23.768 47.750 533.273
0.095 0.121 47.827 75.364 677.795
0.095 0.121 75.454 108.610 901.383
0.095 0.121 108.778 162.996 1151.683
0.095 0.121 163.588 323.690 1821.487
0.095 0.121 324.019 537.881 2813.262
0.095 0.121 538.230 1024.171 4318.400
0.095 0.121 1030.077 2499.317 5603.995
0.095 0.121 2508.936 4993.170 7333.559
