Agg-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.284 0.340 38.678 46.776 29.234
0.284 0.340 46.776 55.211 35.561
0.284 0.340 55.211 64.824 41.405
0.284 0.340 64.824 76.362 48.103
0.284 0.340 76.362 92.103 52.636
0.284 0.340 92.103 117.298 72.534
0.284 0.340 117.298 173.707 95.557
0.284 0.340 173.707 240.314 136.433
0.284 0.340 240.314 325.206 193.718
0.284 0.340 325.206 438.062 283.678
0.284 0.340 438.062 605.665 341.642
0.284 0.340 605.665 846.637 508.060
0.284 0.340 846.637 1428.879 728.542
0.284 0.340 1428.879 2443.837 1362.995
0.284 0.340 2443.837 3582.201 2009.741
0.284 0.340 3582.201 4999.755 2825.026
0.340 0.398 1.769 12.032 5.931
0.340 0.398 12.032 20.846 14.013
0.340 0.398 20.846 28.486 20.269
0.340 0.398 28.486 36.401 26.586
0.340 0.398 36.401 45.051 32.774
0.340 0.398 45.051 54.494 37.233
0.340 0.398 54.494 65.416 46.721
0.340 0.398 65.416 78.862 54.840
0.340 0.398 78.862 97.366 69.266
0.340 0.398 97.366 137.088 89.735
0.340 0.398 137.088 202.866 138.260
0.340 0.398 202.866 272.937 207.189
0.340 0.398 272.937 363.268 264.665
0.340 0.398 363.268 489.253 341.162
0.340 0.398 489.253 665.955 467.673
0.340 0.398 665.955 960.511 609.950
0.340 0.398 960.511 1685.904 1041.422
0.340 0.398 1685.904 2604.221 1765.406
0.340 0.398 2604.221 3658.911 2603.153
0.340 0.398 3658.911 4999.992 3563.388
0.398 0.450 1.635 10.392 6.358
0.398 0.450 10.392 18.025 13.200
0.398 0.450 18.025 25.846 18.436
0.398 0.450 25.846 34.307 25.339
0.398 0.450 34.307 44.925 32.629
0.398 0.450 44.925 56.779 46.004
0.398 0.450 56.779 70.211 52.594
0.398 0.450 70.211 89.265 70.821
0.398 0.450 89.265 129.486 90.524
0.398 0.450 129.486 201.124 154.929
0.398 0.450 201.124 270.725 204.420
0.398 0.450 270.725 351.950 258.540
0.398 0.450 351.950 459.210 352.072
0.398 0.450 459.210 603.224 478.627
0.398 0.450 603.224 824.024 615.629
0.398 0.450 824.024 1314.345 889.461
0.398 0.450 1314.345 2062.497 1460.178
0.398 0.450 2062.497 2868.833 2221.403
0.398 0.450 2868.833 3810.562 3020.342
0.398 0.450 3810.562 4999.599 4099.807
0.450 0.495 1.667 9.437 5.734
0.450 0.495 9.437 16.637 11.470
0.450 0.495 16.637 24.116 18.332
0.450 0.495 24.116 33.274 24.863
0.450 0.495 33.274 45.756 35.072
0.450 0.495 45.756 60.522 47.405
0.450 0.495 60.522 80.956 64.165
0.450 0.495 80.956 122.822 87.545
0.450 0.495 122.822 201.053 147.331
0.450 0.495 201.053 272.774 230.556
0.450 0.495 272.774 350.804 293.540
0.450 0.495 350.804 447.456 375.881
0.450 0.495 447.456 561.647 463.926
0.450 0.495 561.647 719.444 591.006
0.450 0.495 719.444 1005.749 732.794
0.450 0.495 1005.749 1648.888 1224.981
0.450 0.495 1648.888 2326.778 1789.045
0.450 0.495 2326.778 3054.588 2424.521
0.450 0.495 3054.588 3947.057 3340.651
0.450 0.495 3947.057 4999.954 4190.160
0.495 0.535 1.719 9.184 6.165
0.495 0.535 9.184 16.080 12.100
0.495 0.535 16.080 23.207 17.424
0.495 0.535 23.207 32.608 25.140
0.495 0.535 32.608 46.562 35.725
0.495 0.535 46.562 66.215 50.989
0.495 0.535 66.215 98.245 71.682
0.495 0.535 98.245 183.224 137.476
0.495 0.535 183.224 259.907 202.131
0.495 0.535 259.907 337.727 272.787
0.495 0.535 337.727 423.290 367.007
0.495 0.535 423.290 522.235 433.144
0.495 0.535 522.235 643.035 552.277
0.495 0.535 643.035 808.512 681.518
0.495 0.535 808.512 1199.351 837.816
0.495 0.535 1199.351 1830.973 1455.753
0.495 0.535 1830.973 2488.161 2044.868
0.495 0.535 2488.161 3193.542 2584.117
0.495 0.535 3193.542 4028.770 3298.360
0.495 0.535 4028.770 4999.882 3898.494
0.535 0.572 1.749 9.180 6.217
0.535 0.572 9.180 15.997 11.743
0.535 0.572 15.997 22.843 17.807
0.535 0.572 22.843 32.493 25.019
0.535 0.572 32.493 48.002 35.644
0.535 0.572 48.002 71.296 55.170
0.535 0.572 71.296 133.024 84.248
0.535 0.572 133.024 228.428 177.150
0.535 0.572 228.428 310.373 260.793
0.535 0.572 310.373 386.934 332.761
0.535 0.572 386.934 471.430 410.504
0.535 0.572 471.430 568.039 479.181
0.535 0.572 568.039 687.001 601.340
0.535 0.572 687.001 857.702 703.955
0.535 0.572 857.702 1336.082 933.732
0.535 0.572 1336.082 1951.718 1551.178
0.535 0.572 1951.718 2606.033 2222.055
0.535 0.572 2606.033 3325.925 2769.392
0.535 0.572 3325.925 4109.893 3601.670
0.535 0.572 4109.893 4999.966 4148.156
0.572 0.610 1.779 9.135 6.504
0.572 0.610 9.135 16.106 11.512
0.572 0.610 16.106 22.943 17.834
0.572 0.610 22.943 32.084 25.142
0.572 0.610 32.084 48.795 35.352
