Agg-Agg collection for the random orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.273 0.327 101.199 184.008 1416.625
0.273 0.327 184.365 318.588 1850.245
0.273 0.327 318.888 529.512 2379.384
0.273 0.327 530.135 910.374 3518.959
0.273 0.327 913.175 1671.653 4593.060
0.273 0.327 1673.790 2940.853 6113.099
0.273 0.327 2941.059 4999.708 8094.239
0.327 0.359 2.812 28.072 19.501
0.327 0.359 28.142 54.676 39.438
0.327 0.359 54.740 96.275 60.472
0.327 0.359 96.379 178.074 87.228
0.327 0.359 178.689 318.332 118.553
0.327 0.359 318.700 529.301 143.828
0.327 0.359 529.650 891.480 185.250
0.327 0.359 892.367 1612.698 250.696
0.327 0.359 1621.614 2928.102 344.864
0.327 0.359 2935.315 4982.445 479.852
0.359 0.384 2.125 27.476 645.855
0.359 0.384 27.809 54.233 917.213
0.359 0.384 54.354 94.798 1140.582
0.359 0.384 94.987 174.111 1403.045
0.359 0.384 174.214 314.097 1904.943
0.359 0.384 314.394 528.312 2401.432
0.359 0.384 528.988 894.203 3513.971
0.359 0.384 896.172 1622.659 4383.021
0.359 0.384 1626.080 2954.544 6514.607
0.359 0.384 2961.398 4996.608 8784.312
0.384 0.405 2.328 27.093 19.822
0.384 0.405 27.161 53.244 38.871
0.384 0.405 53.402 93.277 61.218
0.384 0.405 93.394 171.486 89.699
0.384 0.405 172.052 309.786 117.745
0.384 0.405 311.031 527.630 141.390
0.384 0.405 529.673 884.997 189.884
0.384 0.405 885.355 1602.347 254.391
0.384 0.405 1602.608 2924.368 333.338
0.384 0.405 2932.351 4986.315 483.633
0.405 0.424 2.872 27.020 643.365
0.405 0.424 27.102 53.180 842.353
0.405 0.423 53.181 91.810 1132.447
0.405 0.423 91.834 170.070 1375.051
0.405 0.424 170.963 312.840 1778.282
0.405 0.423 313.263 531.811 2368.338
0.405 0.424 532.224 876.505 3189.785
0.405 0.423 878.646 1567.365 4467.450
0.405 0.424 1571.611 2866.831 6507.062
0.405 0.424 2878.458 4994.306 8692.040
0.424 0.441 2.431 26.634 18.504
0.424 0.441 26.691 52.303 40.242
0.424 0.441 52.454 89.595 61.448
0.424 0.441 89.792 164.156 90.990
0.424 0.441 164.938 303.463 112.796
0.424 0.441 303.583 519.237 142.454
0.424 0.441 520.889 857.506 185.566
0.424 0.441 857.840 1538.296 266.182
0.424 0.441 1540.318 2874.963 326.965
0.424 0.441 2877.297 4998.673 496.026
0.441 0.457 2.366 26.599 678.809
0.441 0.458 26.652 52.406 859.002
0.441 0.458 52.433 88.916 1175.119
0.441 0.458 89.032 162.263 1434.399
0.441 0.458 162.320 304.190 1783.586
0.441 0.458 304.871 523.517 2359.089
0.441 0.458 524.127 857.532 3290.594
0.441 0.458 858.026 1540.451 4514.283
0.441 0.458 1547.903 2869.847 6183.249
0.441 0.458 2872.654 4993.020 8073.219
0.458 0.474 2.103 26.651 19.843
0.458 0.474 26.689 52.360 40.381
0.458 0.474 52.535 88.614 65.058
0.458 0.474 88.738 159.861 88.767
0.458 0.474 160.268 299.259 120.406
0.458 0.474 299.984 520.598 145.057
0.458 0.474 521.503 848.621 197.467
0.458 0.474 851.647 1516.310 245.597
0.458 0.474 1521.271 2859.529 359.060
0.458 0.474 2863.414 4995.631 496.131
0.474 0.490 2.175 26.437 695.137
0.474 0.490 26.497 52.717 924.693
0.474 0.490 52.746 88.096 1111.968
0.474 0.490 88.343 158.537 1428.884
0.474 0.490 158.912 297.798 1721.528
0.474 0.490 298.243 517.965 2357.677
0.474 0.490 518.673 839.751 3123.356
0.474 0.490 841.079 1492.363 4466.797
0.474 0.490 1495.858 2812.195 6436.112
0.474 0.490 2820.171 4997.042 8358.064
0.490 0.506 2.334 26.542 19.712
0.490 0.506 26.636 52.602 41.320
0.490 0.506 52.738 87.873 65.730
0.490 0.506 88.114 157.919 91.564
0.490 0.506 158.232 297.491 123.496
0.490 0.506 298.924 520.433 152.290
0.490 0.506 521.276 846.423 194.257
0.490 0.506 847.305 1509.437 260.386
0.490 0.506 1515.036 2815.449 338.314
0.490 0.506 2819.124 4995.241 512.989
0.506 0.522 2.361 26.502 677.995
0.506 0.522 26.623 52.672 915.659
0.506 0.522 52.726 87.472 1099.623
0.506 0.522 87.584 154.888 1462.317
0.506 0.522 155.535 295.858 1778.874
0.506 0.522 296.912 523.860 2442.431
0.506 0.522 524.948 842.510 3175.269
0.506 0.522 843.518 1484.872 4580.276
0.506 0.522 1490.609 2801.817 5936.589
0.506 0.522 2809.662 4987.367 8312.997
0.522 0.539 2.240 26.781 20.993
0.522 0.539 26.903 52.637 43.310
0.522 0.539 52.744 87.238 67.022
0.522 0.539 87.354 155.179 86.459
0.522 0.539 155.601 296.948 120.661
0.522 0.539 297.378 520.365 149.437
0.522 0.539 521.244 837.041 194.519
0.522 0.539 838.510 1477.506 246.085
0.522 0.539 1480.599 2802.331 339.025
0.522 0.539 2803.962 4986.099 476.342
0.539 0.557 2.243 27.152 682.903
0.539 0.557 27.209 53.218 858.699
0.539 0.557 53.282 87.452 1149.437
0.539 0.557 87.634 154.433 1386.994
0.539 0.557 154.760 296.882 1830.819
0.539 0.557 297.061 520.595 2283.020
0.539 0.557 522.653 833.784 3098.723
0.539 0.557 837.156 1469.819 4421.755
0.539 0.557 1469.967 2794.798 6484.253
0.539 0.557 2796.131 4999.133 8681.209
0.557 0.576 2.193 27.722 19.615
0.557 0.576 27.738 53.675 43.078
0.557 0.576 53.725 88.164 68.391
0.557 0.576 88.291 155.565 90.222
0.557 0.576 155.764 298.218 115.879
0.557 0.576 299.102 527.117 151.915
0.557 0.576 528.835 834.991 188.668
0.557 0.576 836.992 1455.087 248.932
0.557 0.576 1463.562 2795.472 365.545
0.557 0.576 2799.559 4999.799 490.926
0.576 0.598 2.114 28.386 694.369
0.576 0.598 28.402 54.496 901.768
0.576 0.598 54.543 88.085 1173.025
0.576 0.598 88.464 156.897 1462.432
0.576 0.598 156.939 303.625 1798.062
0.576 0.598 304.215 530.017 2410.822
0.576 0.598 530.515 842.307 3229.864
0.576 0.598 843.624 1456.248 4758.301
0.576 0.598 1465.080 2813.726 6228.197
0.576 0.598 2821.320 4998.977 8112.714
0.598 0.623 2.045 28.581 21.254
0.598 0.623 28.697 54.620 42.674
0.598 0.623 54.671 87.419 66.067
0.598 0.623 87.448 155.778 93.613
0.598 0.623 155.985 300.578 120.682
0.598 0.623 301.284 524.461 149.361
0.598 0.623 525.049 827.982 191.590
0.598 0.623 828.433 1432.035 248.624
0.598 0.623 1433.648 2820.649 367.266
0.598 0.623 2821.873 4985.141 493.103
0.623 0.655 2.537 29.125 711.326
0.623 0.654 29.239 55.145 895.489
0.623 0.655 55.190 87.207 1160.557
0.623 0.655 87.410 154.585 1469.861
0.623 0.655 155.191 305.785 1783.766
0.623 0.655 305.996 531.132 2222.117
0.623 0.655 532.143 838.210 3262.702
0.623 0.655 839.088 1445.463 4619.136
0.623 0.655 1450.400 2830.915 6166.391
0.623 0.655 2842.380 4998.905 8499.981
0.655 0.701 2.089 29.269 19.918
0.655 0.701 29.337 54.726 44.013
0.655 0.701 54.876 87.138 70.616
0.655 0.701 87.212 155.637 91.365
0.655 0.701 155.753 307.772 117.942
0.655 0.701 309.239 534.004 152.203
0.655 0.701 534.649 829.257 191.756
0.655 0.701 831.737 1422.476 243.301
0.655 0.700 1426.100 2821.523 346.474
0.655 0.701 2830.035 4996.633 499.120
0.701 0.906 3.602 29.458 687.244
0.701 0.918 29.500 54.590 921.732
0.701 0.919 54.757 86.264 1120.853
0.701 0.929 86.515 153.567 1398.725
0.701 0.934 153.969 303.184 1800.520
0.701 0.915 303.490 526.643 2324.860
0.701 0.920 529.002 817.205 3276.650
0.701 0.925 817.775 1418.675 4629.786
0.701 0.927 1418.909 2823.350 6522.375
0.701 0.934 2827.597 4999.959 8466.862
