Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.474 0.490 2.470 26.491 620.302 
0.474 0.490 26.542 52.737 897.032 
0.474 0.490 52.811 88.223 1141.746 
0.474 0.490 88.419 158.647 1383.676 
0.474 0.490 158.942 298.121 1696.831 
0.474 0.490 298.287 518.085 2283.195 
0.474 0.490 519.230 839.836 2930.727 
0.474 0.490 840.281 1490.245 4455.974 
0.474 0.490 1494.399 2811.652 6212.112 
0.474 0.490 2814.237 4999.141 8233.569 
0.490 0.506 2.449 26.616 18.401 
0.490 0.506 26.641 52.665 37.959 
0.490 0.506 52.695 87.969 65.774 
0.490 0.506 88.170 157.571 83.537 
0.490 0.506 158.296 297.050 114.922 
0.490 0.506 298.330 520.301 142.827 
0.490 0.506 521.112 844.236 178.947 
0.490 0.506 846.682 1510.732 242.879 
0.490 0.506 1513.502 2805.598 319.079 
0.490 0.506 2819.506 4998.264 451.516 
0.506 0.522 2.320 26.483 654.972 
0.506 0.522 26.647 52.645 877.760 
0.506 0.522 52.698 87.551 1126.210 
0.506 0.522 87.559 154.791 1379.834 
0.506 0.522 155.241 296.602 1759.123 
0.506 0.522 297.032 524.436 2281.508 
0.506 0.522 524.782 841.781 2982.942 
0.506 0.522 843.525 1486.579 4223.710 
0.506 0.522 1491.770 2802.978 6129.954 
0.506 0.522 2805.031 4998.769 8415.156 
0.522 0.539 2.138 26.864 19.715 
0.522 0.539 26.886 52.694 38.153 
0.522 0.539 52.766 87.241 66.532 
0.522 0.539 87.390 155.381 89.386 
0.522 0.539 155.675 296.006 120.112 
0.522 0.539 297.485 520.595 139.779 
0.522 0.539 520.644 837.043 179.678 
0.522 0.539 840.481 1477.784 230.439 
0.522 0.539 1482.821 2801.548 345.826 
0.522 0.539 2803.070 4993.758 462.924 
0.539 0.557 2.014 27.050 668.903 
0.539 0.557 27.285 53.252 819.532 
0.539 0.557 53.302 87.458 1133.361 
0.539 0.557 87.506 154.580 1362.339 
0.539 0.557 155.254 296.738 1631.270 
0.539 0.557 297.455 521.863 2184.340 
0.539 0.557 522.723 832.531 3031.006 
0.539 0.557 835.390 1469.604 4460.059 
0.539 0.557 1471.106 2789.440 6127.111 
0.539 0.557 2797.336 4999.236 8002.130 
0.557 0.576 2.263 27.698 18.371 
0.557 0.576 27.748 53.691 41.848 
0.557 0.576 53.725 88.179 62.280 
0.557 0.576 88.269 155.568 86.149 
0.557 0.576 155.628 298.091 117.705 
0.557 0.576 299.311 527.658 145.658 
0.557 0.576 528.688 836.167 180.055 
0.557 0.576 837.635 1455.756 240.519 
0.557 0.576 1457.929 2792.507 340.797 
0.557 0.576 2798.217 4998.231 469.844 
0.576 0.598 2.144 28.394 651.825 
0.576 0.598 28.460 54.498 896.895 
0.576 0.598 54.543 88.212 1114.049 
0.576 0.598 88.260 156.911 1385.349 
0.576 0.598 157.524 303.565 1721.144 
0.576 0.598 304.316 529.833 2241.928 
0.576 0.598 530.536 842.207 3051.985 
0.576 0.598 843.112 1459.265 4320.238 
0.576 0.598 1461.708 2815.397 6254.123 
0.576 0.598 2824.316 4996.058 8449.741 
0.598 0.623 2.363 28.598 19.868 
0.598 0.623 28.673 54.622 43.513 
0.598 0.623 54.648 87.375 65.582 
0.598 0.623 87.523 155.378 90.098 
0.598 0.623 156.403 300.578 110.955 
0.598 0.623 300.872 524.497 144.202 
0.598 0.623 525.024 827.957 185.105 
0.598 0.623 828.673 1431.665 235.479 
0.598 0.623 1432.563 2820.781 349.861 
0.598 0.623 2821.941 4990.706 461.805 
0.623 0.654 2.494 29.131 668.372 
0.623 0.655 29.172 55.162 893.955 
0.623 0.655 55.200 87.174 1127.472 
0.623 0.655 87.405 154.911 1348.378 
0.623 0.654 155.585 305.593 1677.473 
0.623 0.655 305.938 531.824 2219.430 
0.623 0.655 532.457 837.831 3088.885 
0.623 0.655 839.492 1444.996 4473.938 
0.623 0.655 1450.268 2832.139 6302.587 
0.623 0.655 2835.462 4997.707 8275.787 
0.655 0.701 3.266 29.310 18.472 
0.655 0.701 29.358 54.864 41.162 
0.655 0.701 54.865 87.152 64.727 
0.655 0.701 87.186 155.507 87.413 
0.655 0.701 155.736 307.419 114.982 
0.655 0.701 308.280 533.837 148.182 
0.655 0.701 535.600 828.086 184.217 
0.655 0.701 829.995 1419.066 247.777 
0.655 0.701 1426.100 2823.562 342.632 
0.655 0.701 2828.765 4997.182 472.252 
0.701 0.906 2.736 29.466 658.000 
0.701 0.921 29.530 54.687 858.136 
0.701 0.923 54.744 86.369 1084.274 
0.701 0.927 86.492 153.429 1384.206 
0.701 0.891 153.598 303.008 1705.734 
0.701 0.906 304.687 527.448 2289.091 
0.701 0.918 528.351 816.270 3023.172 
0.701 0.948 817.775 1417.398 4476.176 
0.701 0.946 1419.144 2823.182 6396.107 
0.701 0.924 2827.505 4996.084 8087.247 
