Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.006 0.027 2282.742 4996.112 72.411 
0.027 0.039 1.772 24.808 99.984 
0.027 0.039 24.824 54.381 140.384 
0.027 0.039 54.474 97.037 195.148 
0.027 0.039 97.073 149.824 278.396 
0.027 0.039 150.053 253.945 346.719 
0.027 0.039 254.138 515.608 498.009 
0.027 0.039 516.730 900.263 765.042 
0.027 0.039 901.709 1427.951 1344.810 
0.027 0.039 1430.147 2396.119 1965.300 
0.027 0.039 2403.774 4992.185 3075.100 
0.039 0.054 1.729 20.611 5.914 
0.039 0.054 20.635 42.941 14.717 
0.039 0.054 42.998 77.442 20.249 
0.039 0.054 77.666 137.247 24.362 
0.039 0.054 137.405 255.815 32.995 
0.039 0.054 256.812 469.415 37.068 
0.039 0.054 469.505 795.378 48.075 
0.039 0.054 796.318 1409.400 54.048 
0.039 0.054 1413.187 2696.748 65.302 
0.039 0.054 2697.018 4984.904 83.066 
0.054 0.072 1.642 20.267 140.122 
0.054 0.072 20.338 40.382 198.625 
0.054 0.072 40.472 67.823 259.848 
0.054 0.072 67.897 122.085 333.180 
0.054 0.072 122.379 243.562 457.686 
0.054 0.072 244.558 442.545 621.555 
0.054 0.072 443.054 729.542 1039.845 
0.054 0.072 730.958 1386.164 1765.142 
0.054 0.072 1387.056 2841.514 2492.599 
0.054 0.072 2857.975 4999.444 3398.075 
0.072 0.095 1.790 21.350 5.898 
0.072 0.095 21.511 42.124 12.237 
0.072 0.095 42.218 68.924 19.906 
0.072 0.095 68.975 113.174 25.946 
0.072 0.095 113.223 206.019 33.608 
0.072 0.095 206.566 393.251 44.796 
0.072 0.095 393.943 653.649 56.908 
0.072 0.095 655.635 1247.364 67.005 
0.072 0.095 1252.989 2711.470 92.059 
0.072 0.095 2731.105 4992.034 151.154 
0.095 0.121 1.686 23.639 204.751 
0.095 0.121 23.791 47.706 284.458 
0.095 0.121 47.753 75.397 367.954 
0.095 0.121 75.490 108.628 475.743 
0.095 0.121 108.665 162.880 658.081 
0.095 0.121 163.588 323.495 874.475 
0.095 0.121 324.026 537.915 1453.922 
0.095 0.121 538.238 1022.573 2174.424 
0.095 0.121 1029.070 2502.504 2960.161 
0.095 0.121 2502.652 4989.861 4052.971 
0.121 0.151 1.793 24.904 6.122 
0.121 0.151 24.998 50.847 12.003 
0.121 0.151 50.921 73.991 17.595 
0.121 0.151 74.101 100.263 25.153 
0.121 0.151 100.407 146.149 35.716 
0.121 0.151 146.585 292.268 47.098 
0.121 0.151 292.725 479.916 64.197 
0.121 0.151 480.926 919.390 87.524 
0.121 0.151 920.686 2391.336 155.324 
0.121 0.151 2406.818 4998.036 224.094 
0.151 0.187 1.738 24.651 294.778 
0.151 0.187 24.683 48.492 378.921 
0.151 0.187 48.556 68.627 476.145 
0.151 0.187 68.739 91.669 566.837 
0.151 0.187 91.839 137.765 796.915 
0.151 0.187 138.331 274.650 1182.042 
0.151 0.186 275.851 459.056 1775.539 
0.151 0.187 460.297 885.595 2493.976 
0.151 0.187 886.921 2402.246 3250.414 
0.151 0.187 2409.124 4991.871 4148.517 
0.187 0.229 2.091 24.950 5.858 
0.187 0.229 24.957 45.796 11.377 
0.187 0.229 45.847 63.491 18.379 
0.187 0.229 63.562 85.220 25.734 
0.187 0.229 85.230 128.752 36.214 
0.187 0.229 128.909 255.989 50.087 
0.187 0.229 256.206 444.316 73.383 
0.187 0.229 444.657 861.680 130.166 
0.187 0.229 862.586 2391.401 212.508 
0.187 0.229 2394.834 4996.559 276.503 
0.229 0.279 1.851 24.559 344.439 
0.229 0.279 24.578 42.212 456.955 
0.229 0.279 42.248 59.031 547.552 
0.229 0.279 59.166 79.740 674.575 
0.229 0.279 79.878 121.061 902.824 
0.229 0.279 121.063 241.800 1446.779 
0.229 0.279 242.233 431.731 1897.128 
0.229 0.279 431.989 843.776 2657.465 
0.229 0.279 848.334 2402.829 3274.290 
0.229 0.279 2405.542 4998.249 4197.735 
0.279 0.337 1.737 22.971 6.250 
0.279 0.337 23.014 38.922 11.920 
0.279 0.337 38.984 55.310 17.288 
0.279 0.337 55.435 76.591 26.084 
0.279 0.337 76.618 117.626 36.490 
0.279 0.337 118.009 240.111 54.705 
0.279 0.337 240.915 438.064 87.272 
0.279 0.337 438.579 846.084 179.199 
0.279 0.337 847.069 2441.919 258.379 
0.279 0.337 2448.439 4996.272 333.670 
0.338 0.398 1.822 20.880 409.112 
0.337 0.398 20.924 36.441 496.388 
0.337 0.398 36.488 54.457 590.096 
0.337 0.398 54.568 78.498 722.815 
0.337 0.398 78.752 135.187 959.223 
0.338 0.398 135.580 271.140 1619.653 
0.337 0.398 271.572 486.019 2075.077 
0.337 0.398 486.959 951.818 2689.707 
0.337 0.398 955.849 2594.167 3524.666 
0.337 0.398 2603.770 4994.788 4270.855 
0.398 0.452 1.902 17.977 6.734 
0.398 0.452 18.007 34.232 11.473 
0.398 0.452 34.250 56.757 18.441 
0.398 0.452 56.782 89.547 25.899 
0.398 0.452 89.664 201.902 37.327 
0.398 0.452 202.610 352.844 61.213 
0.398 0.452 353.589 604.765 121.090 
0.398 0.452 605.877 1319.011 210.366 
0.398 0.452 1322.445 2870.187 291.166 
0.398 0.452 2877.023 4999.259 372.122 
0.452 0.498 1.736 16.514 450.193 
0.452 0.498 16.539 33.144 524.162 
0.452 0.498 33.349 60.821 601.551 
0.452 0.498 60.881 126.668 750.419 
0.452 0.498 127.087 276.000 1068.430 
0.452 0.498 277.016 451.310 1686.938 
