Agg-Agg collection for the random orientation. 
Volume ratio of agg subtracted from volume ratio of new agg (Vagg/Vellipse)
Characteristic value taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.007 0.273 2.429 23.542 -0.085 
0.010 0.272 23.548 46.036 -0.054 
0.009 0.273 46.066 85.507 -0.040 
0.006 0.273 85.537 160.284 -0.146 
0.011 0.272 160.360 282.792 -0.034 
0.006 0.272 283.462 484.730 -0.036 
0.009 0.273 486.413 873.102 -0.142 
0.013 0.272 874.936 1635.567 -0.227 
0.010 0.273 1636.893 2914.562 -0.234 
0.007 0.272 2915.301 4995.076 -0.053 
0.273 0.327 2.328 27.987 -0.031 
0.273 0.327 28.028 55.807 -0.136 
0.273 0.327 55.898 101.024 -0.034 
0.273 0.327 101.073 183.817 -0.062 
0.273 0.327 184.267 318.493 -0.033 
0.273 0.327 318.964 529.816 -0.033 
0.273 0.327 530.226 912.403 -0.075 
0.273 0.327 913.155 1672.561 -0.036 
0.273 0.327 1673.659 2940.853 -0.030 
0.273 0.327 2941.569 4999.783 -0.031 
0.327 0.359 2.463 28.055 -0.076 
0.327 0.359 28.239 54.531 -0.175 
0.327 0.359 54.736 96.192 -0.154 
0.327 0.359 96.537 178.158 -0.164 
0.327 0.359 178.557 318.465 -0.042 
0.327 0.359 318.846 528.921 -0.027 
0.327 0.359 529.454 890.698 -0.165 
0.327 0.359 892.367 1614.746 -0.034 
0.327 0.359 1616.877 2927.727 -0.046 
0.327 0.359 2935.663 4999.408 -0.039 
0.359 0.384 2.198 27.665 -0.030 
0.359 0.384 27.744 54.242 -0.137 
0.359 0.384 54.380 94.915 -0.027 
0.359 0.384 94.964 174.060 -0.025 
0.359 0.384 174.180 314.253 -0.055 
0.359 0.384 314.579 528.502 -0.025 
0.359 0.384 530.193 894.360 -0.036 
0.359 0.384 895.054 1623.026 -0.036 
0.359 0.384 1628.587 2957.371 -0.034 
0.359 0.384 2958.035 4996.694 -0.032 
0.384 0.405 2.518 27.112 -0.088 
0.384 0.405 27.149 53.256 -0.049 
0.384 0.405 53.362 93.352 -0.036 
0.384 0.405 93.390 171.166 -0.032 
0.384 0.405 172.650 310.480 -0.112 
0.384 0.405 310.986 528.077 -0.128 
0.384 0.405 528.824 884.944 -0.031 
0.384 0.405 886.693 1602.005 -0.068 
0.384 0.405 1606.927 2924.663 -0.055 
0.384 0.405 2927.802 4998.663 -0.266 
0.405 0.424 2.667 27.035 -0.215 
0.405 0.424 27.059 53.155 -0.057 
0.405 0.424 53.189 91.802 -0.042 
0.405 0.423 91.849 170.412 -0.022 
0.405 0.424 170.963 312.791 -0.033 
0.405 0.423 312.899 531.459 -0.173 
0.405 0.424 532.191 875.968 -0.040 
0.405 0.424 877.750 1570.344 -0.039 
