Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.151 0.187 886.921 2402.246 6047.764 
0.151 0.187 2409.124 4991.871 7717.794 
0.187 0.229 2.091 24.950 11.451 
0.187 0.229 24.957 45.796 22.057 
0.187 0.229 45.847 63.491 32.178 
0.187 0.229 63.562 85.220 50.377 
0.187 0.229 85.230 128.752 71.461 
0.187 0.229 128.909 255.989 100.305 
0.187 0.229 256.206 444.316 139.569 
0.187 0.229 444.657 861.680 246.616 
0.187 0.229 862.586 2391.401 400.148 
0.187 0.229 2394.834 4996.559 526.881 
0.229 0.279 1.851 24.559 666.464 
0.229 0.279 24.578 42.212 887.080 
0.229 0.279 42.248 59.031 1033.831 
0.229 0.279 59.166 79.740 1232.537 
0.229 0.279 79.878 121.061 1705.727 
0.229 0.279 121.063 241.800 2811.094 
0.229 0.279 242.233 431.731 3814.675 
0.229 0.279 431.989 843.776 4862.771 
0.229 0.279 848.334 2402.829 6378.122 
0.229 0.279 2405.542 4998.249 8140.871 
0.279 0.337 1.737 22.971 11.863 
0.279 0.337 23.014 38.922 21.838 
0.279 0.337 38.984 55.310 34.586 
0.279 0.337 55.435 76.591 48.879 
0.279 0.337 76.618 117.626 70.667 
0.279 0.337 118.009 240.111 103.086 
0.279 0.337 240.915 438.064 157.649 
0.279 0.337 438.579 846.084 339.975 
0.279 0.337 847.069 2441.919 490.193 
0.279 0.337 2448.439 4996.272 644.553 
0.338 0.398 1.822 20.880 762.384 
0.337 0.398 20.924 36.441 964.855 
0.337 0.398 36.488 54.457 1138.122 
0.337 0.398 54.568 78.498 1341.249 
0.337 0.398 78.752 135.187 1918.168 
0.338 0.398 135.580 271.140 3107.028 
0.337 0.398 271.572 486.019 4211.007 
0.337 0.398 486.959 951.818 5465.004 
0.337 0.398 955.849 2594.167 7027.867 
0.337 0.398 2603.770 4994.788 8242.616 
0.398 0.452 1.902 17.977 11.936 
0.398 0.452 18.007 34.232 22.016 
0.398 0.452 34.250 56.757 34.899 
0.398 0.452 56.782 89.547 47.537 
0.398 0.452 89.664 201.902 71.987 
0.398 0.452 202.610 352.844 111.053 
0.398 0.452 353.589 604.765 205.700 
0.398 0.452 605.877 1319.011 413.052 
0.398 0.452 1322.445 2870.187 564.734 
0.398 0.452 2877.023 4999.259 713.108 
0.452 0.498 1.736 16.514 873.046 
0.452 0.498 16.539 33.144 995.004 
0.452 0.498 33.349 60.821 1215.479 
0.452 0.498 60.881 126.668 1423.430 
0.452 0.498 127.087 276.000 2035.910 
0.452 0.498 277.016 451.310 3251.419 
0.453 0.498 452.361 726.184 4488.755 
0.452 0.498 727.169 1661.499 5513.573 
0.452 0.498 1664.569 3061.286 6938.344 
0.452 0.498 3067.509 4995.182 8320.010 
0.498 0.538 1.781 16.078 12.178 
0.498 0.538 16.103 32.555 23.551 
0.498 0.538 32.578 66.400 34.849 
0.498 0.538 66.457 185.883 51.640 
0.498 0.538 186.110 341.766 71.781 
0.498 0.538 342.069 525.858 120.901 
0.498 0.538 526.606 811.067 257.795 
0.498 0.538 812.503 1835.686 499.351 
0.498 0.538 1837.320 3194.660 628.063 
0.498 0.538 3201.345 4999.566 769.455 
0.538 0.576 2.152 15.960 895.657 
0.538 0.576 16.122 32.454 1062.285 
0.538 0.576 32.480 72.134 1268.982 
0.538 0.576 72.261 232.613 1485.454 
0.538 0.576 232.946 391.135 2081.928 
0.538 0.576 391.927 571.416 3343.534 
0.538 0.576 571.985 861.313 4677.198 
0.538 0.575 864.808 1963.888 5722.004 
0.538 0.576 1969.551 3338.373 7149.215 
0.538 0.575 3342.295 4998.741 8565.284 
0.576 0.613 1.781 16.119 12.820 
0.576 0.613 16.162 32.068 23.301 
0.576 0.613 32.119 78.262 36.114 
0.576 0.613 78.535 275.747 50.543 
0.576 0.613 276.204 428.650 68.535 
0.576 0.613 428.850 607.798 122.770 
0.576 0.613 608.356 905.546 321.144 
0.576 0.613 906.758 2076.583 535.161 
0.576 0.613 2078.822 3443.613 702.347 
0.576 0.613 3447.103 4990.401 808.557 
0.614 0.655 1.982 16.178 959.583 
0.614 0.655 16.184 32.077 1105.134 
0.614 0.655 32.145 86.891 1306.743 
0.614 0.655 87.700 307.869 1531.173 
0.614 0.655 308.391 451.049 2269.784 
0.613 0.655 451.410 626.300 3595.267 
0.614 0.655 627.118 926.815 4641.388 
0.614 0.655 929.060 2144.268 6076.563 
0.614 0.655 2149.229 3472.303 7423.693 
0.614 0.655 3478.486 4999.599 8831.198 
0.655 0.710 2.274 16.222 13.257 
0.655 0.709 16.291 31.245 23.744 
0.655 0.709 31.345 97.618 36.949 
0.655 0.710 98.235 331.604 49.858 
0.655 0.709 331.831 471.772 69.282 
0.655 0.710 472.296 643.293 122.854 
0.655 0.710 643.841 945.847 396.465 
0.655 0.709 950.429 2221.376 593.717 
0.655 0.709 2224.675 3544.920 724.779 
0.655 0.709 3545.656 4998.425 868.570 
0.710 0.955 2.183 15.976 1004.322 
0.710 0.933 16.014 29.999 1147.160 
0.710 0.905 30.070 119.285 1378.521 
0.710 0.918 121.296 347.255 1562.130 
0.710 0.948 348.114 489.889 2469.580 
0.710 0.890 490.554 657.171 3674.793 
0.710 0.923 657.571 952.643 4905.356 
0.710 0.934 954.883 2274.768 6338.737 
0.710 0.930 2281.797 3588.895 7254.915 
0.710 0.926 3591.263 4999.558 8798.373 
