Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.337 0.398 78.684 96.957 144.658 
0.337 0.398 96.957 135.563 188.710 
0.337 0.398 135.563 201.348 293.709 
0.337 0.398 201.348 271.142 391.824 
0.337 0.398 271.142 361.336 532.606 
0.337 0.398 361.336 486.916 705.560 
0.337 0.398 486.916 663.266 977.326 
0.337 0.398 663.266 954.115 1345.709 
0.337 0.398 954.115 1679.897 2332.186 
0.337 0.398 1679.897 2600.015 3529.957 
0.337 0.398 2600.015 3659.638 5451.813 
0.337 0.398 3659.638 4999.992 7319.002 
0.398 0.452 1.635 10.392 12.134 
0.398 0.452 10.392 17.990 24.905 
0.398 0.452 17.990 25.784 35.345 
0.398 0.452 25.784 34.248 48.775 
0.398 0.452 34.248 44.927 64.238 
0.398 0.452 44.927 56.780 82.368 
0.398 0.452 56.780 70.310 106.954 
0.398 0.452 70.310 89.558 129.521 
0.398 0.452 89.558 130.778 186.068 
0.398 0.452 130.778 202.553 287.961 
0.398 0.452 202.553 272.038 412.986 
0.398 0.452 272.038 353.362 553.677 
0.398 0.452 353.362 461.177 675.545 
0.398 0.452 461.177 604.777 938.212 
0.398 0.452 604.777 826.131 1214.561 
0.398 0.452 826.131 1320.381 1759.849 
0.398 0.452 1320.381 2067.704 2968.085 
0.398 0.452 2067.704 2872.084 4346.015 
0.398 0.452 2872.084 3812.388 5583.830 
0.398 0.452 3812.388 4999.599 6864.670 
0.452 0.498 1.670 9.367 10.901 
0.452 0.498 9.367 16.531 21.775 
0.452 0.498 16.531 24.035 37.035 
0.452 0.498 24.035 33.218 49.027 
0.452 0.498 33.218 45.790 66.341 
0.452 0.498 45.790 60.861 86.235 
0.452 0.498 60.861 81.781 120.583 
0.452 0.498 81.781 126.984 171.468 
0.452 0.498 126.984 204.716 292.344 
0.452 0.498 204.716 276.546 414.262 
0.452 0.498 276.546 355.455 555.681 
0.452 0.498 355.455 452.330 704.555 
0.452 0.498 452.330 566.922 891.511 
0.452 0.498 566.922 726.229 1095.965 
0.452 0.498 726.229 1019.100 1449.043 
0.452 0.498 1019.100 1663.862 2351.153 
0.452 0.498 1663.862 2339.140 3482.196 
0.452 0.498 2339.140 3063.662 4462.476 
0.452 0.498 3063.662 3949.735 6047.764 
0.452 0.498 3949.735 4999.954 7717.794 
0.498 0.538 1.734 9.181 11.451 
0.498 0.538 9.181 16.084 22.057 
0.498 0.538 16.084 23.142 32.178 
0.498 0.538 23.142 32.571 50.377 
0.498 0.538 32.571 46.653 71.461 
0.498 0.538 46.653 66.438 100.305 
0.498 0.538 66.438 99.568 139.569 
0.498 0.538 99.568 185.886 246.616 
0.498 0.538 185.886 264.054 400.148 
0.498 0.538 264.054 342.002 526.881 
0.498 0.538 342.002 427.601 666.464 
0.498 0.538 427.601 526.427 887.080 
0.498 0.538 526.427 647.271 1033.831 
0.498 0.538 647.271 811.763 1232.537 
0.498 0.538 811.763 1204.616 1705.727 
0.498 0.538 1204.616 1836.362 2811.094 
0.498 0.538 1836.362 2491.761 3814.675 
0.498 0.538 2491.761 3198.856 4862.771 
0.498 0.538 3198.856 4033.151 6378.122 
0.498 0.538 4033.151 4999.882 8140.871 
0.538 0.576 1.749 9.162 11.863 
0.538 0.576 9.162 15.986 21.838 
0.538 0.576 15.986 22.858 34.586 
0.538 0.576 22.858 32.463 48.879 
0.538 0.576 32.463 48.144 70.667 
0.538 0.576 48.144 72.154 103.086 
0.538 0.576 72.154 137.743 157.649 
0.538 0.576 137.743 232.860 339.975 
0.538 0.576 232.860 314.576 490.193 
0.538 0.576 314.576 391.492 644.553 
0.538 0.576 391.492 475.831 762.384 
0.538 0.576 475.831 571.665 964.855 
0.538 0.576 571.665 689.631 1138.122 
0.538 0.576 689.631 861.632 1341.249 
0.538 0.576 861.632 1352.071 1918.168 
0.538 0.576 1352.071 1965.920 3107.028 
0.538 0.576 1965.920 2622.367 4211.007 
0.538 0.576 2622.367 3341.513 5465.004 
0.538 0.576 3341.513 4119.360 7027.867 
0.538 0.576 4119.360 4999.966 8242.616 
0.576 0.613 1.779 9.154 11.936 
