Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.229 0.279 24.559 33.800 18.861 
0.229 0.279 33.800 42.237 23.826 
0.229 0.279 42.237 50.489 27.114 
0.229 0.279 50.489 59.070 33.242 
0.229 0.279 59.070 68.199 35.344 
0.229 0.279 68.199 79.858 44.041 
0.229 0.279 79.858 95.329 48.238 
0.229 0.279 95.329 121.062 58.333 
0.229 0.279 121.062 175.300 87.628 
0.229 0.279 175.300 241.960 129.103 
0.229 0.279 241.960 325.145 176.020 
0.229 0.279 325.145 431.834 229.640 
0.229 0.279 431.834 597.021 309.635 
0.229 0.279 597.021 844.102 410.108 
0.229 0.279 844.102 1394.013 630.126 
0.229 0.279 1394.013 2405.345 1104.191 
0.229 0.279 2405.345 3567.553 1696.422 
0.229 0.279 3567.553 4999.758 2646.566 
0.279 0.337 1.709 13.031 6.096 
0.279 0.337 13.031 22.999 13.015 
0.279 0.337 22.999 31.134 19.566 
0.279 0.337 31.134 38.979 23.795 
0.279 0.337 38.979 47.051 31.117 
0.279 0.337 47.051 55.430 34.145 
0.279 0.337 55.430 65.014 41.185 
0.279 0.337 65.014 76.597 49.424 
0.279 0.337 76.597 92.353 56.252 
0.279 0.337 92.353 117.776 72.411 
0.279 0.337 117.776 173.983 99.984 
0.279 0.337 173.983 240.281 140.384 
0.279 0.337 240.281 325.222 195.148 
0.279 0.337 325.222 438.267 278.396 
0.279 0.337 438.267 605.247 346.719 
0.279 0.337 605.247 847.057 498.009 
0.279 0.337 847.057 1424.939 765.042 
0.279 0.337 1424.939 2443.670 1344.810 
0.279 0.337 2443.670 3574.252 1965.300 
0.279 0.337 3574.252 4999.755 3075.100 
0.337 0.398 1.769 12.064 5.914 
0.337 0.398 12.064 20.902 14.717 
0.337 0.398 20.902 28.551 20.249 
0.337 0.398 28.551 36.444 24.362 
0.337 0.398 36.444 45.064 32.995 
0.337 0.398 45.064 54.489 37.068 
0.337 0.398 54.489 65.371 48.075 
0.337 0.398 65.371 78.684 54.048 
0.337 0.398 78.684 96.957 65.302 
0.337 0.398 96.957 135.563 83.066 
0.337 0.398 135.563 201.348 140.122 
0.337 0.398 201.348 271.142 198.625 
0.337 0.398 271.142 361.336 259.848 
0.337 0.398 361.336 486.916 333.180 
0.337 0.398 486.916 663.266 457.686 
0.337 0.398 663.266 954.115 621.555 
0.337 0.398 954.115 1679.897 1039.845 
0.337 0.398 1679.897 2600.015 1765.142 
0.337 0.398 2600.015 3659.638 2492.599 
0.337 0.398 3659.638 4999.992 3398.075 
0.398 0.452 1.635 10.392 5.898 
0.398 0.452 10.392 17.990 12.237 
0.398 0.452 17.990 25.784 19.906 
