Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.384 0.405 1606.927 2924.663 155.754 
0.384 0.405 2927.802 4998.663 205.020 
0.405 0.424 2.667 27.035 287.915 
0.405 0.424 27.059 53.155 397.026 
0.405 0.424 53.189 91.802 485.252 
0.405 0.423 91.849 170.412 621.466 
0.405 0.424 170.963 312.791 795.730 
0.405 0.423 312.899 531.459 1055.078 
0.405 0.424 532.191 875.968 1408.460 
0.405 0.424 877.750 1570.344 1995.461 
0.405 0.424 1570.741 2866.375 2757.418 
0.405 0.424 2867.239 4999.310 3839.104 
0.424 0.441 2.614 26.657 9.212 
0.424 0.441 26.700 52.308 18.762 
0.424 0.441 52.400 89.550 28.001 
0.424 0.441 89.656 164.268 40.855 
0.424 0.441 164.479 302.963 53.381 
0.424 0.441 303.636 520.160 66.672 
0.424 0.441 520.623 857.691 82.337 
0.424 0.441 858.982 1536.120 110.749 
0.424 0.441 1543.654 2876.307 147.087 
0.424 0.441 2884.558 4999.428 202.633 
0.441 0.458 2.287 26.568 304.068 
0.441 0.458 26.639 52.398 387.774 
0.441 0.458 52.426 89.007 527.166 
0.441 0.458 89.248 162.263 647.054 
0.441 0.458 162.714 304.141 788.959 
0.441 0.458 304.608 523.778 1068.318 
0.441 0.458 525.263 857.556 1514.781 
0.441 0.458 857.693 1539.428 2026.536 
0.441 0.458 1543.882 2859.107 2760.745 
0.441 0.458 2873.278 4994.033 3858.769 
0.458 0.474 2.337 26.550 9.362 
0.458 0.474 26.684 52.515 19.634 
0.458 0.474 52.705 88.612 29.298 
0.458 0.474 88.664 159.904 41.118 
0.458 0.474 160.076 299.166 51.878 
0.458 0.474 299.547 520.794 68.040 
0.458 0.474 521.482 850.216 89.226 
0.458 0.474 851.707 1518.743 118.569 
0.458 0.474 1520.942 2860.303 151.837 
0.458 0.474 2866.814 4999.790 230.973 
0.474 0.490 2.470 26.491 305.520 
0.474 0.490 26.542 52.737 408.400 
0.474 0.490 52.811 88.223 507.554 
0.474 0.490 88.419 158.647 654.178 
0.474 0.490 158.942 298.121 840.422 
0.474 0.490 298.287 518.085 1121.336 
0.474 0.490 519.230 839.836 1533.509 
0.474 0.490 840.281 1490.245 2056.161 
0.474 0.490 1494.399 2811.652 2806.099 
0.474 0.490 2814.237 4999.141 3818.271 
0.490 0.506 2.449 26.616 9.098 
0.490 0.506 26.641 52.665 19.131 
0.490 0.506 52.695 87.969 29.792 
0.490 0.506 88.170 157.571 42.732 
0.490 0.506 158.296 297.050 52.172 
0.490 0.506 298.330 520.301 67.777 
0.490 0.506 521.112 844.236 89.032 
0.490 0.506 846.682 1510.732 113.428 
0.490 0.506 1513.502 2805.598 161.951 
0.490 0.506 2819.506 4998.264 223.665 
0.506 0.522 2.320 26.483 314.326 
0.506 0.522 26.647 52.645 403.052 
0.506 0.522 52.698 87.551 502.657 
0.506 0.522 87.559 154.791 642.353 
0.506 0.522 155.241 296.602 849.146 
0.506 0.522 297.032 524.436 1087.920 
0.506 0.522 524.782 841.781 1456.221 
0.506 0.522 843.525 1486.579 2116.418 
0.506 0.522 1491.770 2802.978 2936.119 
0.506 0.522 2805.031 4998.769 3635.333 
0.522 0.539 2.138 26.864 10.469 
0.522 0.539 26.886 52.694 20.477 
