Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.576 0.598 54.540 70.098 52.172 
0.576 0.598 70.098 88.220 67.777 
0.576 0.598 88.220 114.754 89.032 
0.576 0.598 114.754 156.916 113.428 
0.576 0.598 156.916 216.602 161.951 
0.576 0.598 216.602 303.938 223.665 
0.576 0.598 303.938 408.260 314.326 
0.576 0.598 408.260 530.344 403.052 
0.576 0.598 530.344 669.203 502.657 
0.576 0.598 669.203 842.689 642.353 
0.576 0.598 842.689 1078.716 849.146 
0.576 0.598 1078.716 1460.514 1087.920 
0.576 0.598 1460.514 2018.955 1456.221 
0.576 0.598 2018.955 2815.696 2116.418 
0.576 0.598 2815.696 3847.211 2936.119 
0.576 0.598 3847.211 4999.894 3635.333 
0.598 0.623 2.016 17.116 10.469 
0.598 0.623 17.116 28.640 20.477 
0.598 0.623 28.640 41.184 30.335 
0.598 0.623 41.184 54.631 41.580 
0.598 0.623 54.631 69.523 56.317 
0.598 0.623 69.523 87.447 70.365 
0.598 0.623 87.447 113.513 85.641 
0.598 0.623 113.513 155.808 116.568 
0.598 0.623 155.808 215.460 157.697 
0.598 0.623 215.460 300.619 228.643 
0.598 0.623 300.619 405.819 309.184 
0.598 0.623 405.819 524.708 398.203 
0.598 0.623 524.708 660.886 528.881 
0.598 0.623 660.886 828.190 651.305 
0.598 0.623 828.190 1057.510 815.659 
0.598 0.623 1057.510 1432.556 1093.623 
0.598 0.623 1432.556 1997.260 1484.928 
0.598 0.623 1997.260 2821.448 2122.998 
0.598 0.623 2821.448 3835.954 2980.899 
0.598 0.623 3835.954 4999.871 3870.223 
0.623 0.655 1.941 17.218 10.795 
0.623 0.655 17.218 29.146 21.100 
0.623 0.655 29.146 41.876 31.961 
0.623 0.655 41.876 55.166 42.409 
0.623 0.655 55.166 69.546 56.505 
0.623 0.655 69.546 87.256 68.102 
0.623 0.655 87.256 112.932 90.403 
0.623 0.655 112.932 155.017 114.681 
0.623 0.655 155.017 216.746 155.268 
0.623 0.655 216.746 305.877 237.403 
0.623 0.655 305.877 414.011 317.579 
0.623 0.655 414.011 531.854 423.089 
0.623 0.655 531.854 671.259 527.461 
0.623 0.655 671.259 838.619 654.569 
0.623 0.655 838.619 1070.612 826.408 
0.623 0.655 1070.612 1449.570 1079.388 
0.623 0.655 1449.570 2024.619 1577.605 
0.623 0.655 2024.619 2833.989 2127.157 
0.623 0.655 2833.989 3860.711 2892.011 
0.623 0.655 3860.711 4999.766 3997.953 
0.655 0.701 1.728 17.416 9.537 
0.655 0.701 17.416 29.331 20.932 
0.655 0.701 29.331 41.788 32.807 
0.655 0.701 41.788 54.864 43.888 
0.655 0.701 54.864 69.803 56.781 
0.655 0.701 69.803 87.175 70.233 
0.655 0.701 87.175 113.305 87.620 
0.655 0.701 113.305 155.700 124.524 
0.655 0.701 155.700 217.201 167.398 
0.655 0.701 217.201 307.844 239.735 
0.655 0.701 307.844 415.527 323.635 
0.655 0.701 415.527 534.123 432.337 
0.655 0.701 534.123 670.014 532.454 
0.655 0.701 670.014 829.634 684.325 
0.655 0.701 829.634 1051.509 849.735 
0.655 0.701 1051.509 1423.753 1114.806 
0.655 0.701 1423.753 1999.933 1572.626 
0.655 0.701 1999.933 2826.612 2187.842 
0.655 0.701 2826.612 3851.615 3022.073 
0.655 0.701 3851.615 4999.985 4092.936 
0.701 0.975 1.813 17.529 10.850 
0.701 0.975 17.529 29.477 22.430 
0.701 0.975 29.477 42.071 33.627 
0.701 0.975 42.071 54.691 45.020 
0.701 0.975 54.691 68.859 56.965 
0.701 0.975 68.859 86.435 70.842 
0.701 0.975 86.435 110.730 92.985 
0.701 0.975 110.730 153.595 122.794 
0.701 0.975 153.595 215.188 165.137 
0.701 0.975 215.188 303.315 240.551 
0.701 0.975 303.315 410.812 340.478 
0.701 0.975 410.812 528.159 439.353 
0.701 0.975 528.159 657.419 553.646 
0.701 0.975 657.419 817.322 678.922 
0.701 0.975 817.322 1043.064 836.328 
0.701 0.975 1043.064 1418.899 1112.971 
0.701 0.975 1418.899 1984.068 1613.488 
0.701 0.975 1984.068 2823.781 2267.703 
0.701 0.975 2823.781 3877.262 3036.284 
0.701 0.975 3877.262 4999.971 4085.011 
